art_name,sone_name
BLACKPINK,Forever Young
BLACKPINK,Really
BLACKPINK,See U Later
BLACKPINK,How You Like That
BLACKPINK,Pretty Savage
BLACKPINK,Lovesick Girls
BLACKPINK,Crazy Over You
BLACKPINK,Love To Hate Me
BLACKPINK,You Never Know
BLACKPINK,BOOMBAYAH
BLACKPINK,WHISTLE
BLACKPINK,PLAYING WITH FIRE
BLACKPINK,STAY
BLACKPINK,AS IF IT’S YOUR LAST
BLACKPINK,DDU-DU DDU-DU
BLACKPINK,FOREVER YOUNG
BLACKPINK,REALLY
BLACKPINK,SEE U LATER
BLACKPINK,Kill This Love
BLACKPINK,Don’t Know What To Do
BLACKPINK,Kick It
BLACKPINK,Hope Not
BLACKPINK,As If It’s Your Last
BLACKPINK,WHISTLE
BLACKPINK,BOOMBAYAH
BLACKPINK,Pink Venom
BLACKPINK,Shut Down
BLACKPINK,Typa Girl
BLACKPINK,Yeah Yeah Yeah
BLACKPINK,Hard to Love
BLACKPINK,The Happiest Girl
BLACKPINK,Tally
BLACKPINK,Ready For Love
BLACKPINK,Sour Candy
BLACKPINK,PLAYING WITH FIRE
BLACKPINK,STAY
BLACKPINK,How You Like That
BLACKPINK,Pink Venom
BLACKPINK,WHISTLE
BLACKPINK,BOOMBAYAH
BLACKPINK,Kick It -JP Ver.-
BLACKPINK,Hope Not -JP Ver.-
