art_name,sone_name
Adele,Daydreamer
Adele,Best For Last
Adele,Chasing Pavements
Adele,Cold Shoulder
Adele,Crazy For You
Adele,Melt My Heart To Stone
Adele,First Love
Adele,Right As Rain
Adele,Make You Feel My Love
Adele,My Same
Adele,Tired
Adele,Ma Carpe Diem
Adele,Strangers by Nature
Adele,Easy On Me
Adele,My Little Love
Adele,Cry Your Heart Out
Adele,Oh My God
Adele,Can I Get It
Adele,I Drink Wine
Adele,Woman Like Me
Adele,Hold On
Adele,To Be Loved
Adele,Love Is A Game
Adele,Rumour Has It
Adele,Turning Tables
Adele,Don’t You Remember
Adele,Set Fire to the Rain
Adele,He Won’t Go
Adele,Take It All
Adele,I’ll Be Waiting
Adele,One And Only
Adele,Lovesong
Adele,Someone Like You
Adele,I Found A Boy
Adele,Daydreamer
Adele,Best For Last
Adele,Chasing Pavements
Adele,Cold Shoulder
Adele,Crazy For You
Adele,Melt My Heart To Stone
Adele,First Love
Adele,Right As Rain
Adele,Make You Feel My Love
Adele,My Same
Adele,Tired
Adele,Skyfall
Adele,Beautiful
Adele,Sweetest Devotion
Adele,All I Ask
Adele,River Lea
Adele,I Miss You
Adele,Hello
Adele,Million Years Ago
Adele,Remedy
Adele,Someone Like You
Adele,Hello
Adele,I Miss You
Adele,When We Were Young
Adele,Remedy
Adele,Water Under the Bridge
Adele,River Lea
Adele,Love In The Dark
Adele,Million Years Ago
Adele,All I Ask
Adele,Sweetest Devotion
Adele,Skyfall
Adele,Ma carpe diem
Adele,Best For Last
Adele,Cold Shoulder
Adele,Chasing Pavements
Adele,Make You Feel My Love
Adele,When We Were Young
Adele,Water Under the Bridge
Adele,Hello
Adele,Man from Galilee
Adele,A Satisfied Mind
Adele,I’d Rather Have Jesus
Adele,I’m Bound for the Land of Canan
Adele,Thank God for a Mother Like Mine
Adele,He Spoke Not a Word
Adele,He Heard My Plea
Adele,There’s No Greater Time Than Now
Adele,Coming Home
Adele,It’s a Message to You
Adele,Thirty Pieces of Silver
Adele,Jesus Take a Hold
