art_name,sone_name
Charlie Puth,1984
Charlie Puth,I Won’t Tell A Soul
Charlie Puth,One Call Away
Charlie Puth,Dangerously
Charlie Puth,Marvin Gaye
Charlie Puth,Losing My Mind
Charlie Puth,We Don’t Talk Anymore
Charlie Puth,My Gospel
Charlie Puth,Up All Night
Charlie Puth,Left Right Left
Charlie Puth,Then There’s You
Charlie Puth,Suffer
Charlie Puth,As You Are
Charlie Puth,Some Type Of Love
Charlie Puth,River
Charlie Puth,Does It Feel
Charlie Puth,One Call Away
Charlie Puth,Charlie Be Quiet!
Charlie Puth,Light Switch
Charlie Puth,There’s A First Time For Everything
Charlie Puth,Smells Like Me
Charlie Puth,Loser
Charlie Puth,When You’re Sad I’m Sad
Charlie Puth,Marks On My Neck
Charlie Puth,I Don’t Think That I Like Her
Charlie Puth,No More Drama
Charlie Puth,Attention
Charlie Puth,Next To You
Charlie Puth,Surprise Me
Charlie Puth,Time Passes By
Charlie Puth,I Don’t Wanna Hurt You Baby
Charlie Puth,Magic
Charlie Puth,Hotline Bling
Charlie Puth,Mother
Charlie Puth,The Way I Am
Charlie Puth,Attention
Charlie Puth,LA Girls
Charlie Puth,How Long
Charlie Puth,Done For Me
Charlie Puth,Patient
Charlie Puth,If You Leave Me Now
Charlie Puth,BOY
Charlie Puth,Slow It Down
Charlie Puth,Change
Charlie Puth,Somebody Told Me
Charlie Puth,Empty Cups
Charlie Puth,Through It All
Charlie Puth,Charlie Be Quiet!
Charlie Puth,Light Switch
Charlie Puth,There’s A First Time For Everything
Charlie Puth,Smells Like Me
Charlie Puth,Loser
Charlie Puth,When You’re Sad I’m Sad
Charlie Puth,Marks On My Neck
Charlie Puth,I Don’t Think That I Like Her
Charlie Puth,No More Drama
Charlie Puth,Summer Feelings
Charlie Puth,I Won’t Tell a Soul
Charlie Puth,Some Type of Love
Charlie Puth,Suffer
Charlie Puth,Girlfriend
Charlie Puth,Look At Me Now
Charlie Puth,Seventeen
Charlie Puth,Beautiful Corruption
Charlie Puth,Kiss Me
Charlie Puth,Tangerine Dreams
Charlie Puth,How Long
Charlie Puth,Suffer
Charlie Puth,I Warned Myself
Charlie Puth,Over
Charlie Puth,Overture
Charlie Puth,Need You Now
Charlie Puth,I Don’t Think That I Like Her
Charlie Puth,Smells Like Me
Charlie Puth,Chandelier
Charlie Puth,The Way I Am
Charlie Puth,Tangerine Dreams
Charlie Puth,Light Switch
Charlie Puth,I Warned Myself
Charlie Puth,Hard On Yourself
Charlie Puth,How Long
Charlie Puth,Santa Claus Is Coming To Town
Charlie Puth,Free
Charlie Puth,One Call Away
Charlie Puth,Dangerously
Charlie Puth,Marvin Gaye
Charlie Puth,Losing My Mind
Charlie Puth,We Don’t Talk Anymore
Charlie Puth,Up All Night
Charlie Puth,Left Right Left
Charlie Puth,Then There’s You
Charlie Puth,Suffer
Charlie Puth,As You Are
Charlie Puth,Some Type Of Love
Charlie Puth,See You Again
Charlie Puth,Break Again
Charlie Puth,Charlie Be Quiet!
Charlie Puth,After All
Charlie Puth,Cheating on You
Charlie Puth,Upside Down
