art_name,sone_name
IU,그대네요
IU,분홍신
IU,MODERN TIMES
IU,싫은 날
IU,OBLIVIATE
IU,HAVANA
IU,기다려
IU,미운오리
IU,미아
IU,Feel So Good
IU,Every Sweet Day
IU,첫 겨울이니까
IU,Drr
IU,소격동
IU,秋日早晨
IU,이 지금
IU,이런 엔딩
IU,잼잼
IU,Black Out
IU,마침표
IU,밤편지
IU,그렇게 사랑은
IU,이름에게
IU,至少有那天[你的意义 中文版]
IU,unlucky
IU,그 사람
IU,Blueming
IU,시간의 바깥
IU,자장가
IU,Love poem
IU,SoulMate
IU,Celebrity
IU,Precaution
IU,Into the I-LAND
IU,바다가 기억하는 얘기
IU,Love poem
IU,私だけ知らない
IU,비밀
IU,너랑 나
IU,벽지무늬
IU,사랑니
IU,LAST FANTASY
IU,길 잃은 강아지
IU,4AM
IU,드라마
IU,정거장
IU,겨울잠
IU,너
IU,러브레터
IU,Let’s Catch The Bus
IU,Beautiful Dancer
IU,Truth
IU,Fairytale
IU,Voice-mail
IU,New World
IU,삐삐
IU,이게 아닌데
IU,느리게 하는 일
IU,좋은 날
IU,첫 이별 그날 밤
IU,혼자 있는 방
IU,第五根手指
IU,마음
IU,나만 몰랐던 이야기
IU,잔혹동화
IU,나의 옛날이야기
IU,꽃
IU,삐에로는 우릴 보고 웃지
IU,사랑이 지나가면
IU,여름밤의 꿈
IU,복숭아
IU,하루 끝
IU,그 애 참 싫다
IU,strawberry moon
IU,바다가 기억하는 얘기
IU,라일락
IU,Flu
IU,Coin
IU,봄 안녕 봄
IU,Celebrity
IU,아이와 나의 바다
IU,에필로그
IU,카탈람의 노래
IU,밤편지
IU,봄 사랑 벚꽃 말고
IU,마음을 드려요
IU,少年時代
IU,분홍신
IU,MODERN TIMES
IU,싫은 날
IU,OBLIVIATE
IU,HAVANA
IU,기다려
IU,가을 아침
IU,비밀의 화원
IU,잠 못 드는 밤 비는 내리고
IU,어젯밤 이야기
IU,개여울
IU,매일 그대와
IU,The Age of the Cathedrals
IU,RAIN DROP
IU,LOVE ATTACK
IU,기차를 타고
IU,마쉬멜로우
IU,아침 눈물
IU,두근 두근 데이트
IU,Celebrity
IU,새 신발
IU,Zezé
IU,스물셋
IU,푸르던
IU,무릎
IU,안경
IU,다섯째 손가락
IU,Monday Afternoon
IU,Follow The Moon
