art_name,sone_name
Justin Bieber,Don’t Check On Me
Justin Bieber,One Less Lonely Girl
Justin Bieber,Heartbreaker
Justin Bieber,Hold On
Justin Bieber,Lonely
Justin Bieber,Essence
Justin Bieber,Boyfriend
Justin Bieber,One Time
Justin Bieber,Favorite Girl
Justin Bieber,Down to Earth
Justin Bieber,Bigger
Justin Bieber,One Less Lonely Girl
Justin Bieber,First Dance
Justin Bieber,Love Me
Justin Bieber,Common Denominator
Justin Bieber,Somebody To Love
Justin Bieber,Stuck In the Moment
Justin Bieber,U Smile
Justin Bieber,Runaway Love
Justin Bieber,Never Let You Go
Justin Bieber,Overboard
Justin Bieber,Eenie Meenie
Justin Bieber,Up
Justin Bieber,That Should Be Me
Justin Bieber,Kiss and Tell
Justin Bieber,Friends
Justin Bieber,Somebody to Love
Justin Bieber,Where Are You Now?
Justin Bieber,Holy
Justin Bieber,Anyone
Justin Bieber,You And Me
Justin Bieber,All That Matters
Justin Bieber,As Long As You Love Me
Justin Bieber,Monster
Justin Bieber,Die In Your Arms
Justin Bieber,Bad Day
Justin Bieber,Fairytale
Justin Bieber,You Want Me
Justin Bieber,10，000 Hours
Justin Bieber,Hard 2 Face Reality
Justin Bieber,Don’t Go
Justin Bieber,Eenie Meenie
Justin Bieber,2 Much
Justin Bieber,Deserve You
Justin Bieber,As I Am
Justin Bieber,Off My Face
Justin Bieber,Holy
Justin Bieber,Unstable
Justin Bieber,MLK Interlude
Justin Bieber,Die For You
Justin Bieber,Hold On
Justin Bieber,Somebody
Justin Bieber,Ghost
Justin Bieber,Love You Different
Justin Bieber,Loved By You
Justin Bieber,Anyone
Justin Bieber,There She Go
Justin Bieber,I Can’t Be Myself
Justin Bieber,Lifetime
Justin Bieber,Baby
Justin Bieber,Somebody To Love
Justin Bieber,Never Let You Go
Justin Bieber,That Should Be Me
Justin Bieber,Confident
Justin Bieber,Runaway Love - Kanye West Remix
Justin Bieber,What’s Hatnin’
Justin Bieber,Flatline
Justin Bieber,Home To Mama
Justin Bieber,All Around The World
Justin Bieber,Boyfriend
Justin Bieber,As Long As You Love Me
Justin Bieber,Catching Feelings
Justin Bieber,Take You
Justin Bieber,Right Here
Justin Bieber,Fall
Justin Bieber,Die In Your Arms
Justin Bieber,Thought Of You
Justin Bieber,Beauty And A Beat
Justin Bieber,One Love
Justin Bieber,Be Alright
Justin Bieber,Believe
Justin Bieber,Out Of Town Girl
Justin Bieber,She Don’t Like The Lights
Justin Bieber,Maria
Justin Bieber,Mistletoe
Justin Bieber,Fa La La
Justin Bieber,Holy
Justin Bieber,Santa Claus Is Coming To Town
Justin Bieber,Drummer Boy
Justin Bieber,Swap It Out
Justin Bieber,Stuck with U
Justin Bieber,Roller Coaster
Justin Bieber,One Time
Justin Bieber,Favorite Girl
Justin Bieber,One Less Lonely Girl
Justin Bieber,Love Me
Justin Bieber,Freedom
Justin Bieber,All She Wrote
Justin Bieber,Where You Go I Follow
Justin Bieber,Where Do I Fit In
Justin Bieber,Afraid To Say
Justin Bieber,2 Much
Justin Bieber,Deserve You
Justin Bieber,As I Am
Justin Bieber,Off My Face
Justin Bieber,Holy
Justin Bieber,Unstable
Justin Bieber,MLK Interlude
Justin Bieber,Die For You
Justin Bieber,Hold On
Justin Bieber,Somebody
Justin Bieber,Ghost
Justin Bieber,Love You Different
Justin Bieber,Loved By You
Justin Bieber,Anyone
Justin Bieber,Angels Speak
Justin Bieber,There She Go
Justin Bieber,I Can’t Be Myself
Justin Bieber,Lifetime
Justin Bieber,Hold Tight
Justin Bieber,Next To You
Justin Bieber,Home to Mama
Justin Bieber,Mistletoe
Justin Bieber,One Time
Justin Bieber,Favorite Girl
Justin Bieber,One Less Lonely Girl
Justin Bieber,Baby
Justin Bieber,Somebody To Love
Justin Bieber,Never Let You Go
Justin Bieber,Overboard
Justin Bieber,Up
Justin Bieber,That Should Be Me
Justin Bieber,All Around Me
Justin Bieber,Habitual
Justin Bieber,Come Around Me
Justin Bieber,Intentions
Justin Bieber,Yummy
Justin Bieber,Available
Justin Bieber,Forever
Justin Bieber,Running Over
Justin Bieber,Take It Out On Me
Justin Bieber,Second Emotion
Justin Bieber,Get Me
Justin Bieber,E.T.A.
Justin Bieber,Changes
Justin Bieber,Confirmation
Justin Bieber,That’s What Love Is
Justin Bieber,At Least For Now
Justin Bieber,Cold Water
Justin Bieber,All Around the World
Justin Bieber,One Love
Justin Bieber,Love Yourself
Justin Bieber,Yellow Raincoat
Justin Bieber,PYD
Justin Bieber,Mark My Words
Justin Bieber,I’ll Show You
Justin Bieber,What Do You Mean?
Justin Bieber,Sorry
Justin Bieber,Love Yourself
Justin Bieber,Company
Justin Bieber,No Pressure
Justin Bieber,No Sense
Justin Bieber,The Feeling
Justin Bieber,Life Is Worth Living
Justin Bieber,Where Are Ü Now
Justin Bieber,Children
Justin Bieber,Purpose
Justin Bieber,Been You
