art_name,sone_name
Michael Jackson,Man In The Mirror
Michael Jackson,Ballin
Michael Jackson,Enjoy Yourself
Michael Jackson,Lovely One
Michael Jackson,Thriller
Michael Jackson,The Girl Is Mine
Michael Jackson,Beat It
Michael Jackson,State of Shock
Michael Jackson,Bad
Michael Jackson,On The Line
Michael Jackson,Someone Put Your Hand Out
Michael Jackson,We’ve Had Enough
Michael Jackson,Rockin’ Robin
Michael Jackson,Got To Be There
Michael Jackson,I Wanna Be Where You Are
Michael Jackson,My Girl
Michael Jackson,You’re My Best Friend， My Love
Michael Jackson,The Eternal Light
Michael Jackson,Teenage Symphony
Michael Jackson,Doctor My Eyes
Michael Jackson,If I Don’t Love You This Way
Michael Jackson,Moving Violation
Michael Jackson,Love Don’t Want To Leave
Michael Jackson,You’re The Only One
Michael Jackson,Wanna Be Startin’ Somethin’
Michael Jackson,Baby Be Mine
Michael Jackson,The Girl Is Mine
Michael Jackson,Thriller
Michael Jackson,Beat It
Michael Jackson,Billie Jean
Michael Jackson,Human Nature
Michael Jackson,The Lady in My Life
Michael Jackson,For All Time
Michael Jackson,Voice-Over Intro Quincy Jones Interview #1 / Quincy Jones Interview #1
Michael Jackson,Someone in the Dark
Michael Jackson,Quincy Jones Interview #3
Michael Jackson,Voice-Over Intro Rod Temperton Interview #1 / Rod Temperton Interview #1
Michael Jackson,I Want You Back
Michael Jackson,Rockin’ Robin
Michael Jackson,Goin’ Back To Indiana
Michael Jackson,Don’t Let Your Baby Catch You
Michael Jackson,Morning Glow
Michael Jackson,Children Of The Light
Michael Jackson,I Want You Back
Michael Jackson,Ease on Down the Road
Michael Jackson,You Can’t Win
Michael Jackson,Lovely One
Michael Jackson,Wanna Be Startin’ Somethin’
Michael Jackson,Thriller
Michael Jackson,Someone in the Dark
Michael Jackson,State of Shock
Michael Jackson,We Are Here to Change the World
Michael Jackson,Man in the Mirror
Michael Jackson,Ain’t No Sunshine
Michael Jackson,Doctor My Eyes
Michael Jackson,Girl Your’re So Together
Michael Jackson,Got To Be There
Michael Jackson,Happy
Michael Jackson,I Want You Back
Michael Jackson,Lookin’ Through The Windows
Michael Jackson,One Day In Your Life
Michael Jackson,Skywriter
Michael Jackson,The Love You Save
Michael Jackson,We’re Almost There
Michael Jackson,Jam
Michael Jackson,Why You Wanna Trip On Me
Michael Jackson,In The Closet
Michael Jackson,In The Closet
Michael Jackson,She Drives Me Wild
Michael Jackson,Remember The Time
Michael Jackson,Heal The World
Michael Jackson,Black Or White
Michael Jackson,Who Is It
Michael Jackson,Who Is It
Michael Jackson,Give In To Me
Michael Jackson,Will You Be There
Michael Jackson,Keep The Faith
Michael Jackson,Gone Too Soon
Michael Jackson,Dangerous
Michael Jackson,Can’t Let Her Get Away
Michael Jackson,Rock With You
Michael Jackson,Working Day And Night
Michael Jackson,Get On The Floor
Michael Jackson,Off The Wall
Michael Jackson,Girlfriend
Michael Jackson,She’s Out Of My Life
Michael Jackson,I Can’t Help It
Michael Jackson,It’s The Falling In Love
Michael Jackson,Burn This Disco Out
Michael Jackson,Quincy Jones Interview #1
Michael Jackson,Introduction to Don’t Stop ’Til You Get Enough Demo
Michael Jackson,Don’t Stop ’Til You Get Enough
Michael Jackson,Quincy Jones Interview #2
Michael Jackson,Introduction to Workin’ Day and Night Demo
Michael Jackson,Quincy Jones Interview #3
Michael Jackson,Quincy Jones Interview #4
Michael Jackson,Hold My Hand
Michael Jackson,Hollywood Tonight
Michael Jackson,Keep Your Head Up
Michael Jackson,Best of Joy
