art_name,sone_name
Sia,Welcome to the Wonderful World of
Sia,Angel in Your Eyes
Sia,Genius
Sia,Audio
Sia,Thunderclouds
Sia,Mountains
Sia,No New Friends
Sia,Heaven Can Wait
Sia,It’s Time
Sia,Rewrite
Sia,Sunday
Sia,Breathe Me
Sia,The Bully
Sia,Sweet Potato
Sia,Don’t Bring Me Down
Sia,Natale’s Song
Sia,Butterflies
Sia,Moon
Sia,The Church of What’s Happening
Sia,Numb
Sia,Where I Belong
Sia,Broken Biscuit
Sia,Sea Shells
Sia,Bird Set Free
Sia,Titans
Sia,Chandelier
Sia,Big Girls Cry
Sia,Burn the Pages
Sia,Eye of the Needle
Sia,Hostage
Sia,Straight for the Knife
Sia,Fair Game
Sia,Elastic Heart
Sia,Free the Animal
Sia,Fire Meet Gasoline
Sia,Cellophane
Sia,Dressed In Black
Sia,Under The Milky Way
Sia,Cheap Thrills
Sia,Thunderclouds
Sia,Bird Set Free
Sia,One Million Bullets
Sia,Move Your Body
Sia,Unstoppable
Sia,Cheap Thrills
Sia,Reaper
Sia,House On Fire
Sia,Footprints
Sia,Sweet Design
Sia,Broken Glass
Sia,Space Between
Sia,Clap Your Hands
Sia,Day Too Soon
Sia,Breathe Me
Sia,Bring Night
Sia,My Love
Sia,I Got to Sleep
Sia,The Fight
Sia,Butttons
Sia,You’ve Changed
Sia,Fear
Sia,Drink To Get Drunk
Sia,Taken For Granted
Sia,Blow It All Away
Sia,Get Me
Sia,I’m Not Important To You
Sia,Sober And Unkissed
Sia,Healing Is Difficult
Sia,Judge Me
Sia,Little Man
Sia,Insidiously
Sia,Guts Over Fear
Sia,Reaper
Sia,Rewrite
Sia,Sunday
Sia,Breathe Me
Sia,The Bully
Sia,Sweet Potato
Sia,Don’t Bring Me Down
Sia,Natale’s Song
Sia,Butterflies
Sia,Moon
Sia,The Church Of What’s Happening Now
Sia,Numb
Sia,Where I Belong
Sia,Broken Biscuit
Sia,Lucky
Sia,So Bored
Sia,The Day That You Moved On
Sia,Dynamite
Sia,Wild One Two
Sia,Déjà vu
Sia,Mountains
Sia,Eye To Eye
Sia,Saved My Life
Sia,Buttons
Sia,I’m Still Here
Sia,Thunderclouds
Sia,Rainbow
Sia,Floating Through Space
Sia,Together
Sia,Hey Boy
Sia,Saved My Life
Sia,Floating Through Space
Sia,Eye To Eye
Sia,Music
Sia,1+1
Sia,Courage to Change
Sia,Play Dumb
Sia,Beautiful Things Can Happen
Sia,Lie To Me
Sia,Miracle
Sia,Snowman
Sia,Bring Night
Sia,Audio
Sia,I Don’t Want To Want You
Sia,Madlove
Sia,One More Shot
Sia,Tripoutro
Sia,Born Yesterday
Sia,Together
Sia,No New Friends
Sia,Eye of the Needle
Sia,Taken For Granted
Sia,Helium
Sia,My Love
Sia,Hey Boy
Sia,Together
Sia,I Love It
Sia,Let’s Love
Sia,Free Me
Sia,Dusk Till Dawn
Sia,I’ll Forget You
Sia,Santa’s Coming for Us
Sia,Candy Cane Lane
Sia,Snowman
Sia,Snowflake
Sia,Ho Ho Ho
Sia,Puppies Are Forever
Sia,Sunshine
Sia,Underneath the Mistletoe
Sia,Everyday Is Christmas
Sia,Underneath the Christmas Lights
Sia,Round and Round
Sia,Sing for My Life
Sia,My Old Santa Claus
Sia,Pin Drop
Sia,Santa Visits Everyone
Sia,Bird Set Free
Sia,One Million Bullets
Sia,Move Your Body
Sia,Unstoppable
Sia,Cheap Thrills
Sia,Reaper
Sia,House On Fire
Sia,Footprints
Sia,Sweet Design
Sia,Broken Glass
Sia,Space Between
Sia,Cheap Thrills
Sia,The Greatest
Sia,Confetti
Sia,Midnight Decisions
Sia,The Greatest
Sia,Santa’s Coming for Us
Sia,Candy Cane Lane
Sia,Snowman
Sia,Snowflake
Sia,Ho Ho Ho
Sia,Puppies Are Forever
Sia,Sunshine
Sia,Underneath the Mistletoe
Sia,Everyday Is Christmas
Sia,Underneath the Christmas Lights
Sia,Round and Round
Sia,Sing for My Life
Sia,My Old Santa Claus
Sia,Bang My Head
Sia,Santa’s Coming for Us
Sia,Candy Cane Lane
Sia,Snowman
Sia,Snowflake
Sia,Ho Ho Ho
Sia,Puppies Are Forever
Sia,Sunshine
Sia,Underneath the Mistletoe
Sia,Everyday Is Christmas
Sia,Underneath the Christmas Lights
Sia,Round and Round
Sia,Sing for My Life
Sia,My Old Santa Claus
Sia,Pin Drop
Sia,Santa Visits Everyone
Sia,Naughty & Nice
Sia,12 Nights
Sia,3 Minutes ’Til New Years
Sia,No New Friends
Sia,Angel By The Wings
Sia,Genius
Sia,The Fight
Sia,Clap Your Hands
Sia,Stop Trying
Sia,You’ve Changed
Sia,Be Good To Me
Sia,Bring Night
Sia,Hurting Me Now
Sia,Never Gonna Leave Me
Sia,Cloud
Sia,I’m In Here
Sia,The Co-Dependent
Sia,Big Girl Little Girl
Sia,Oh Father
Sia,Lullaby
Sia,Santa’s Coming For Us
Sia,Battle Cry
Sia,Pictures
Sia,Santa’s Coming for Us
Sia,Candy Cane Lane
Sia,Snowman
Sia,Snowflake
Sia,Ho Ho Ho
Sia,Puppies Are Forever
Sia,Sunshine
Sia,Underneath the Mistletoe
Sia,Everyday Is Christmas
Sia,Underneath the Christmas Lights
Sia,Round and Round
Sia,Sing for My Life
Sia,My Old Santa Claus
Sia,Pin Drop
Sia,Santa Visits Everyone
Sia,Naughty & Nice
Sia,12 Nights
Sia,3 Minutes ’Til New Years
Sia,2 Minutes ‘Til New Years
Sia,One Million Bullets
Sia,Don’t Bring Me Down
Sia,Flames
Sia,Riding On My Bike
Sia,Bird Set Free
Sia,Chandelier
Sia,Buttons
Sia,Little Black Sandals
