art_name,sone_name
任贤齐,非常爱你
任贤齐,大番薯
任贤齐,爱过才心痛
任贤齐,我是一只小小鸟
任贤齐,给你幸福
任贤齐,依靠
任贤齐,我是一只鱼
任贤齐,一个男人的眼泪
任贤齐,伤心太平洋
任贤齐,再问一次
任贤齐,冷漠与温柔
任贤齐,很受伤
任贤齐,三更半暝
任贤齐,烛光
任贤齐,心太软
任贤齐,这样也好
任贤齐,I Feel Good
任贤齐,对面的女孩看过来
任贤齐,只爱你一个人
任贤齐,烧得厉害
任贤齐,哭个痛快
任贤齐,让你走
任贤齐,任逍遥
任贤齐,依靠
任贤齐,I Feel Good
任贤齐,为了爱
任贤齐,三分钟
任贤齐,保持距离
任贤齐,Can’t Stop Loving You
任贤齐,爱过才心痛
任贤齐,爱已成习惯
任贤齐,爱怎么放手
任贤齐,开心就好
任贤齐,在路上
任贤齐,睡到十二点
任贤齐,天使也一样
任贤齐,赶不走
任贤齐,兄弟
任贤齐,你在说谎
任贤齐,珍惜
任贤齐,别走
任贤齐,不单爱你这些
任贤齐,希望你明年冬天会回来
任贤齐,别想
任贤齐,小白脸
任贤齐,你是我老婆
任贤齐,好说话
任贤齐,永远
任贤齐,冲绳之恋
任贤齐,春天花会开
任贤齐,依靠
任贤齐,我是一只鱼
任贤齐,哭个痛快
任贤齐,流着泪的你的脸
任贤齐,风暴
任贤齐,水晶
任贤齐,永夜
任贤齐,给你幸福
任贤齐,出去就别回来
任贤齐,再出发
任贤齐,伤心太平洋
任贤齐,任逍遥
任贤齐,天涯
任贤齐,心太软
任贤齐,心情车站
任贤齐,不信邪
任贤齐,对折
任贤齐,指挥家
任贤齐,我就是喜欢这样
任贤齐,倾城之泪
任贤齐,任性
任贤齐,光芒
任贤齐,杀手锏
任贤齐,咱的故事
任贤齐,完美的奇迹
任贤齐,我是有钱人
任贤齐,再问一次
任贤齐,别再回头
任贤齐,走一段想你的路
任贤齐,就让一切自由
任贤齐,捉住生命的节奏
任贤齐,你的心我知道
任贤齐,我想预约所有的爱
任贤齐,奔向午后
任贤齐,年轻的心
任贤齐,春天花会开
任贤齐,流着泪的你的脸
任贤齐,橘子香水
任贤齐,小雪
任贤齐,呢喃
任贤齐,今晚我要去唱歌
任贤齐,彩色西门町
任贤齐,活着
任贤齐,只要跟你好
任贤齐,忍不住
任贤齐,沧海一声笑
任贤齐,一条龙
任贤齐,铁血丹心
任贤齐,嘿嘿岱日查
任贤齐,良药苦口
任贤齐,副歌第一句
任贤齐,风云决
任贤齐,爱你在伤口
任贤齐,赛跑
任贤齐,气球
任贤齐,再一次好吗？
任贤齐,圣诞快来了
任贤齐,朋友，你变了没有
任贤齐,别恋我
任贤齐,看我的
任贤齐,赛跑
任贤齐,外婆桥
任贤齐,爱情躲避球
任贤齐,少年游
任贤齐,老张的歌
任贤齐,美丽的坏女人
任贤齐,春天花会开
任贤齐,你愿意我愿意
任贤齐,珍惜
任贤齐,心情车站
任贤齐,这样也好
任贤齐,一个男人的眼泪
任贤齐,英雄降临
任贤齐,打拼ㄟ人
任贤齐,浪花一朵朵
任贤齐,你愿意我愿意
任贤齐,水查某
任贤齐,想见你
任贤齐,这样也好
任贤齐,牵牛花
任贤齐,我等你
任贤齐,心情车站
任贤齐,MAMAK档
任贤齐,春天花会开
任贤齐,伤心地铁
任贤齐,情比姐妹深
任贤齐,一个男人的眼泪
任贤齐,只能抱着你
任贤齐,欠我的时光
任贤齐,裙摆摇摇
任贤齐,朋友的酒
任贤齐,心太软
任贤齐,5151
任贤齐,浪漫手牵手
任贤齐,爱的不轻
任贤齐,哭个痛快
任贤齐,一个男人的眼泪
任贤齐,长藤挂铜铃1997
任贤齐,时光诛仙
任贤齐,别怕
任贤齐,挺到底
任贤齐,2020再出发
任贤齐,弱水
任贤齐,对我好一点
任贤齐,永不退缩
任贤齐,那一年，这一天
任贤齐,两极
任贤齐,明天过后
任贤齐,小狼狗
任贤齐,有梦的人
任贤齐,火焰
任贤齐,不止伤心
任贤齐,眼泪没有用
任贤齐,蓝色忧郁
任贤齐,Stay With Me
任贤齐,一起冲
任贤齐,OK大舞会
任贤齐,好聚好散
任贤齐,飞鸟
任贤齐,匆匆
任贤齐,花太香
任贤齐,拯救心田
任贤齐,再出发
任贤齐,走了千万里
任贤齐,彩虹沙漠
任贤齐,绝望的生鱼片
任贤齐,本来也可以
任贤齐,爱的路上只有我和你
任贤齐,永夜
任贤齐,一个人
任贤齐,举杯
任贤齐,再见黄鹤楼
任贤齐,舍不得
任贤齐,不再让你孤单
任贤齐,无你就无我
任贤齐,如果有人比我更爱你
任贤齐,爱的世界
任贤齐,难懂的你
任贤齐,少年游
任贤齐,老张的歌
任贤齐,冰力十足
任贤齐,红包拿来
任贤齐,我们的最后
任贤齐,无间断
任贤齐,义无反顾
任贤齐,底牌
任贤齐,守候
任贤齐,对面的女孩看过来
任贤齐,不要变
任贤齐,伤心太平洋
任贤齐,我是一只鱼
任贤齐,心情车站
任贤齐,风暴
任贤齐,爱很疯
任贤齐,爱我爱我
任贤齐,安静的人
任贤齐,任逍遥
任贤齐,心太软
任贤齐,很受伤
任贤齐,诛仙我回来
任贤齐,她要我她不爱我
任贤齐,功夫恰恰
任贤齐,诛仙恋
任贤齐,还有我
任贤齐,如果没有你
任贤齐,Bale Bale
任贤齐,没良心的
任贤齐,爱你的最后一天
任贤齐,为自己骄傲-达芙妮企业歌
任贤齐,生命如花篮
任贤齐,杯中玫瑰
任贤齐,玫瑰香槟
任贤齐,白兰香
任贤齐,花舞
任贤齐,晚风花香
任贤齐,送郎一朵牵牛花
任贤齐,紫丁花
任贤齐,海上花
任贤齐,春之花
任贤齐,很受伤
任贤齐,爱，怎么会是这样
任贤齐,只爱你一个人
任贤齐,这样也好
任贤齐,若是你在我身边
任贤齐,烧得厉害
任贤齐,日出东方
任贤齐,盲点
任贤齐,了解
任贤齐,宝贝
任贤齐,打破沉默
任贤齐,我出去一下
任贤齐,心肝宝贝
任贤齐,飞向自己的天空
任贤齐,让你走
任贤齐,我不要沉默
