art_name,sone_name
张学友,自由
张学友,想和你去吹吹风
张学友,三天两夜
张学友,自由
张学友,台北不是伤心地
张学友,火花
张学友,隐形眼镜
张学友,纽约的司机驾着北京的梦
张学友,演
张学友,毛衣
张学友,什么世界
张学友,日出时让街灯安睡
张学友,春风秋雨
张学友,饿狼传说
张学友,这一次意外
张学友,来来回回
张学友,只有你不知道
张学友,非常夏日
张学友,当爱变成习惯
张学友,追钟
张学友,天与地
张学友,梦里再爱一次
张学友,走不掉
张学友,从头到尾
张学友,为什么爱是这样
张学友,稀有品种
张学友,礼物
张学友,咖啡
张学友,该不该
张学友,我得你
张学友,堕落天堂
张学友,相爱很难
张学友,他在那里
张学友,他在那里
张学友,走不掉
张学友,堕落天堂
张学友,稀有品种
张学友,该不该
张学友,咖啡
张学友,骄傲
张学友,骄傲
张学友,为什么爱是这样
张学友,昨夜梦魂中
张学友,迫我绝情
张学友,尽在无言
张学友,天变地变情不变
张学友,梦里的声音
张学友,别了
张学友,不再是我
张学友,长相依
张学友,战场
张学友,乐园再见
张学友,天气这么热
张学友,Let Me Go
张学友,我真的受伤了
张学友,如果这都不算爱
张学友,想的都是她
张学友,结束不是我要的结果
张学友,Love
张学友,算命
张学友,我也和你一样
张学友,看开些吧!女孩
张学友,放逐
张学友,我与你
张学友,只想一生跟你走
张学友,等你回来
张学友,忘记他
张学友,旧情绵绵
张学友,思忆季节
张学友,人生需要什么
张学友,不经不觉
张学友,如来神掌
张学友,烟花句
张学友,留住这时光
张学友,等你等到我心痛
张学友,总有一天等到你
张学友,情网
张学友,留住这时光
张学友,饿狼传说
张学友,这一次意外
张学友,过客
张学友,回头太难
张学友,爱，一次给不完
张学友,别问
张学友,相信她，关心她
张学友,最后一封信
张学友,好久
张学友,你冷得像风
张学友,昨日情
张学友,对你的爱越深就越来越心痛
张学友,一千个伤心的理由
张学友,偷心
张学友,吻别
张学友,回头太难
张学友,对你的爱越深就越来越心痛
张学友,心碎了无痕
张学友,忘记你我做不到
张学友,情书
张学友,情网
张学友,想和你去吹吹风
张学友,我等到花儿也谢了
张学友,祝福
张学友,纽约的司机驾着北京的梦
张学友,一路上有你
张学友,等你等到我心痛
张学友,等你等到我心痛
张学友,总有一天等到你
张学友,一生不醉醒
张学友,爱.火.花
张学友,分手总要在雨天
张学友,明日世界终结时
张学友,明日世界终结时
张学友,情网
张学友,情浓半生
张学友,还是觉得你最好
张学友,爱得比你深
张学友,日出时让恋爱终结
张学友,留住秋色
张学友,祇想一生跟你走
张学友,真情流露
张学友,吻别
张学友,壮志骄阳
张学友,一颗不变心
张学友,Ooh La La
张学友,你不再说爱我
张学友,我爱玫瑰园
张学友,今晚要尽情
张学友,夜茫茫
张学友,一吻=两心印
张学友,别让我发现你在哭
张学友,道道道
张学友,我等到花儿也谢了
张学友,Merry Christmas I Love U
张学友,这个冬天不太冷
张学友,望月
张学友,幻想
张学友,情系半生
张学友,野猫之恋
张学友,怨偶
张学友,让你愉快
张学友,谁想轻轻偷走我的吻
张学友,好久
张学友,饿狼传说
张学友,爱.火.花
张学友,你冷得像风
张学友,只想一生跟你走
张学友,祝福
张学友,等你等到我心痛
张学友,吻别
张学友,偷心
张学友,每天爱你多一些
张学友,暗恋你
张学友,只愿一生爱一人
张学友,花花公子
张学友,忘情冷雨夜
张学友,夕阳醉了
张学友,欢场
张学友,亲亲
张学友,你没有错
张学友,迷失的方向
张学友,一往情深
张学友,信念
张学友,情书
张学友,心如刀割
张学友,人在雨中
张学友,想和你去吹吹风
张学友,失眠夜
张学友,深海
张学友,你好毒
张学友,忘记你我做不到
张学友,你最珍贵
张学友,二分之一的幸福
张学友,纽约的司机驾着北京的梦
张学友,她来听我的演唱会
张学友,爱是永恒
张学友,微尘
张学友,爱和承诺
张学友,相爱
张学友,温馨
张学友,Amour
张学友,Smile Again 玛莉亚
张学友,丝丝记忆
张学友,别恋
张学友,天变地变情不变
张学友,情已逝
张学友,昨夜梦魂中
张学友,最后的告别
张学友,月半弯
张学友,沉默的眼睛
张学友,轻抚你的脸
张学友,遥远的她
张学友,再度重遇你
张学友,回头太难
张学友,当爱变成习惯
张学友,心碎了无痕
张学友,忘记你我做不到
张学友,情书
张学友,情已逝
张学友,在我心深处
张学友,Linda
张学友,谁想轻轻偷走我的吻
张学友,一颗不变心
张学友,每天爱你多一些
张学友,月半弯
张学友,明日世界终结时
张学友,一路上有你
张学友,恋爱的人都一样
张学友,祝福
张学友,真情流露
张学友,爱慕
张学友,晚安，吾爱
张学友,情不禁
张学友,秋意浓
张学友,忘记他
张学友,吻别
张学友,祇想一生跟你走
张学友,回头太难
张学友,不准点火
张学友,给我亲爱的
张学友,忘情负义
张学友,Cry
张学友,旧信，旧梦!
张学友,Linda
张学友,法国餐厅
张学友,热情面具
张学友,仍是会喜欢你
张学友,圈圈
张学友,只想一生跟你走
张学友,一颗不变心
张学友,情网
张学友,祝福
张学友,春风秋雨
张学友,忘记他
张学友,爱得比你深
张学友,相信她，关心她
张学友,饿狼传说
张学友,等你等到我心痛
张学友,这一次意外
张学友,非常夏日
张学友,吻别
张学友,春风秋雨
张学友,等你等到我心痛
张学友,饿狼传说
张学友,吻别
张学友,只想一生跟你走
张学友,明日世界终结时
张学友,忘记他
张学友,每天爱你多一些
张学友,爱.火.花
张学友,忘记他
张学友,情不禁
张学友,偷心者
张学友,交叉算了
张学友,花花公子
张学友,壮志骄阳
张学友,Honey B
张学友,恕难从命
张学友,暗恋你
张学友,偷闲加油站
张学友,爱得比你深
张学友,情网
张学友,等你等到我心痛
张学友,你是我今生唯一传奇
张学友,只想一生跟你走
张学友,分手总要在雨天
张学友,夜了 又破晓
张学友,Cry！
张学友,吻别
张学友,情网
张学友,Linda
张学友,一路上有你
张学友,你给我的爱最多
张学友,每天爱你多一些
张学友,相信她， 关心她
张学友,恋爱的人都一样
张学友,拥抱阳光
张学友,秋意浓
张学友,心如刀割
张学友,她来听我的演唱会
张学友,二分之一的幸福
张学友,留给自己一个晚上
张学友,认床
张学友,好呆
张学友,走过1999
张学友,你好毒
张学友,放弃你
张学友,女人香
张学友,天机
张学友,不后悔
张学友,失眠夜
张学友,真爱
张学友,拥有
张学友,爱，一次给不完
张学友,恋爱的人都一样
张学友,微尘
张学友,好久
张学友,你知不知道
张学友,你冷得像风
张学友,甲乙丙丁
张学友,人在雨中
张学友,过客
张学友,谁想轻轻偷走我的吻
张学友,你最珍贵
张学友,穿过你的黑发的我的手
张学友,刹那爱
张学友,我哭了
张学友,屈到病
张学友,过敏世界
张学友,无心恋
张学友,离开以后
张学友,多么的需要你
张学友,高!高!
张学友,友情歌1985-1993
张学友,释放自己
张学友,今晚要尽情
张学友,花花公子
张学友,和好不如初
张学友,日出时让恋爱终结
张学友,怎么舍得你
张学友,早已离开我
张学友,我应该
张学友,地球人
张学友,逃亡
张学友,不老的传说
张学友,情书
张学友,越吻越伤心 + 原来你什么都不要
张学友,马路英雄
张学友,情已逝 + 蓝雨 + 爱得比你深 + 头发乱了
张学友,月半弯
张学友,来来回回
张学友,你的名字我的姓氏
张学友,有个人
张学友,旗开得胜
张学友,心碎了无痕
张学友,还是觉得你最好
张学友,童真年代
张学友,轻抚你的脸
张学友,情已逝
张学友,爱的卡帮
张学友,丝丝记忆
张学友,温柔
张学友,局外人
张学友,月半弯
张学友,爱恋的星火
张学友,单车少女
张学友,别恋
张学友,初吻
张学友,Oh!No!
张学友,飞机师的风衣
张学友,苗
张学友,交叉算了
张学友,Smile Again 玛丽亚
张学友,遥远的她
张学友,Amour
张学友,偷心者
张学友,怀抱的你
张学友,饿狼传说
张学友,欢场
张学友,情不禁
张学友,忘记他
张学友,非常夏日
张学友,壮志骄阳
张学友,偷心者
张学友,地震
张学友,我爱玫瑰园
张学友,追钟
张学友,爱.火.花
张学友,屈到病
张学友,花花公子
张学友,这个冬天不太冷
张学友,野猫之恋
张学友,花花公子
张学友,情不禁
张学友,偷心者
张学友,我爱玫瑰园
张学友,追钟
张学友,逃亡
张学友,有个人
张学友,我应该
张学友,和好不如初
张学友,逃亡
张学友,寂寞的男人
张学友,地球人
张学友,爱你痛到不知痛
张学友,玩不起
张学友,三思而后行
张学友,你是我的春夏秋冬
张学友,一千个伤心的理由
张学友,这个冬天不太冷
张学友,我等到花儿也谢了
张学友,只有你不知道
张学友,真爱
张学友,饿狼传说
张学友,望月
张学友,祝福
张学友,非常夏日
张学友,旧情绵绵
张学友,来来回回
张学友,吻别
张学友,似曾相识
张学友,故事
张学友,竟然是你
张学友,今夜星光如梦
张学友,明日约定
张学友,晚安，吾爱
张学友,最深的承诺
张学友,昨夜梦魂中
张学友,命定的缘
张学友,天地人
张学友,净化空间
张学友,夜
张学友,昼
张学友,中国节拍·震动世界
张学友,轻抚你的脸
张学友,爱的卡帮
张学友,丝丝记忆
张学友,局外人
张学友,怀抱的您
张学友,甜梦
张学友,情已逝
张学友,造梦者
张学友,温柔
张学友,交叉算了
