art_name,sone_name
汪峰,一起摇摆
汪峰,勇敢的心
汪峰,简单的歌
汪峰,满
汪峰,流年啊 你奈我何
汪峰,河流
汪峰,无处安放
汪峰,你走你的路
汪峰,谢谢
汪峰,为什么不再快乐点
汪峰,现在或永不
汪峰,闪亮的日子
汪峰,我爱你
汪峰,不合时宜
汪峰,亲爱的 今夜你在哪里
汪峰,早安，女士
汪峰,花火
汪峰,迷鹿
汪峰,东北偏北
汪峰,美丽世界的孤儿
汪峰,我爱你，生活
汪峰,一切都会流走
汪峰,青春
汪峰,爱的隧道
汪峰,丧失
汪峰,妈妈
汪峰,二手灵魂
汪峰,没有什么事那么糟糕
汪峰,灿烂的你
汪峰,脏歌
汪峰,坏掉
汪峰,往昔的野草
汪峰,易忘之茧
汪峰,从感冒片到钞票
汪峰,我心依狂
汪峰,寂寞时你再一次来到我的心灵
汪峰,没那么容易
汪峰,就这样
汪峰,两只鸟一列火车和雨的交响曲
汪峰,彼岸
汪峰,彼岸
汪峰,飞得更高
汪峰,笑着哭
汪峰,硬币
汪峰,生命中的一天
汪峰,飞得更高
汪峰,门开了
汪峰,尘土
汪峰,我在长大
汪峰,十二月的泪
汪峰,硬币
汪峰,笑着哭
汪峰,绽放
汪峰,彼岸
汪峰,谢谢
汪峰,你走你的路
汪峰,无处安放
汪峰,流年啊 你奈我何
汪峰,在雨中
汪峰,我的爱
汪峰,爱是一颗幸福的子弹
汪峰,你
汪峰,啦啦啦
汪峰,去无方向
汪峰,生来孤独
汪峰,最后一次我见到你
汪峰,英雄
汪峰,再见二十世纪
汪峰,时代的标记
汪峰,寂静的午后
汪峰,没时间干
汪峰,在与不在
汪峰,简单的歌
汪峰,来自外行星的电子
汪峰,你觉得这一切会发生吗
汪峰,好姑娘
汪峰,尘埃
汪峰,尊严不重要
汪峰,紫罗兰发带
汪峰,那年我五岁
汪峰,爸爸
汪峰,贫瘠之歌
汪峰,我爱你中国
汪峰,我们的梦
汪峰,信仰在空中飘扬
汪峰,爱你的方式
汪峰,北京北京
汪峰,当我想你的时候
汪峰,挥挥手
汪峰,旅途
汪峰,你是我心爱的姑娘
汪峰,怒放的生命
汪峰,让我们在一起
汪峰,上千个黎明
汪峰,我的路
汪峰,像个孩子
汪峰,向阳花
汪峰,一起摇摆
汪峰,勇敢的心
汪峰,地心
汪峰,没有人在乎
汪峰,像个孩子
汪峰,雪钟花
汪峰,旅途
汪峰,一起摇摆
汪峰,生来彷徨
汪峰,不羁的生命
汪峰,想念真好
汪峰,贫瘠之歌
汪峰,高地
汪峰,寂寞列车
汪峰,薄雾
汪峰,请把我在路上叫醒
汪峰,城市之光
汪峰,有什么意义
汪峰,谎言之躯
汪峰,加德满都的风铃
汪峰,边界
汪峰,春芽
汪峰,这样的孤单
汪峰,这感觉怎么样
汪峰,泡沫人生的迷惑
汪峰,无家可归的人
汪峰,像梦一样自由
汪峰,上千个黎明
汪峰,存在
汪峰,多么完美的生活
汪峰,向阳花
汪峰,来不及了
汪峰,不能停止的哭泣
汪峰,爱你的方式
汪峰,改变
汪峰,恩赐之地
汪峰,一百万吨的信念
汪峰,不经意间
汪峰,再见蒲公英
汪峰,让我们在一起
汪峰,大桥上
汪峰,流浪
汪峰,爸爸
汪峰,你不知道
汪峰,宝贝没什么
汪峰,地心
汪峰,抵押灵魂
汪峰,哭泣的拳头
汪峰,勇敢的心
汪峰,眩晕
汪峰,觉醒
汪峰,无名之辈
汪峰,挥挥手
汪峰,我的路
汪峰,边走边唱
汪峰,空的发狂
汪峰,我如此爱你
汪峰,北京北京
汪峰,Main Melody
汪峰,Speed
汪峰,Riding Bike
汪峰,On The Duty
汪峰,Look For
汪峰,Meet You First Time
汪峰,Happy
汪峰,Love
汪峰,Run into You
汪峰,Take Turns
汪峰,Trace
汪峰,Run and Hit
汪峰,Walking on the Road
汪峰,Ending Credit
汪峰,如刀
汪峰,卑微灵魂的低语
汪峰,也许我可以无视死亡
汪峰,飞鸟
汪峰,我不相信
汪峰,孤独无法治愈
汪峰,随便吧
汪峰,如果你还相信
汪峰,西班牙箱琴
汪峰,逃跑
汪峰,不知道为什么的歌
汪峰,每个人都在失去
汪峰,早安，女士
汪峰,花火
汪峰,爱的隧道
汪峰,东北偏北
汪峰,妈妈
汪峰,抽干
汪峰,迷鹿
汪峰,美丽世界的孤儿
汪峰,丧失我的信仰
汪峰,再见二十世纪
汪峰,Lucky
汪峰,名利场
汪峰,春天里
汪峰,光明
汪峰,当我想你的时候
汪峰,空空如也
汪峰,有意思吗
汪峰,蹩脚的爱情
汪峰,母亲
汪峰,破碎的歌谣
汪峰,如果风不再吹
汪峰,你是我心爱的姑娘
汪峰,无主之城
汪峰,信仰在空中飘扬
汪峰,再见青春
