art_name,sone_name
王杰,爱在每个地方
王杰,孤独的飞
王杰,醉读女人心
王杰,彩色心
王杰,够用一生的承诺
王杰,我知道我是一个已经过气的歌手
王杰,我
王杰,Baby I’m Your Man
王杰,梦会醒
王杰,你就真的丟下我
王杰,无悔无憾
王杰,什么时候才能够
王杰,我还是永远的爱着你
王杰,红尘有你
王杰,当你说要走
王杰,善变的谎言
王杰,回家
王杰,我知道我是一个已经过气的歌手
王杰,为了爱梦一生
王杰,那段血泪汗的日子
王杰,独自在暴风雨中
王杰,如果你真的在乎我
王杰,今生错过了说爱
王杰,永远相信爱情
王杰,不要从我的眼中离开
王杰,我依然在你熟悉的地方等你
王杰,为什么
王杰,你是我永远珍惜的朋友
王杰,Pagode do Churrasco
王杰,Bumbum no Chao
王杰,一场游戏一场梦
王杰,是否我真的一无所有
王杰,你是我胸口永远的痛
王杰,是你是你是你
王杰,永远相信爱情
王杰,为了爱，梦一生
王杰,别让明天的太阳离开我
王杰,向太阳怒吼
王杰,红尘有你
王杰,我要飞
王杰,希望
王杰,忘了你忘了我
王杰,你是我胸口永远的痛
王杰,你的名字写满我心里
王杰,少年的心
王杰,心里的话
王杰,让我永远爱你
王杰,爱你像爱我自己
王杰,5800年的她
王杰,黑暗的空间
王杰,娃娃在哭了
王杰,感激你在等我
王杰,爱情重伤
王杰,向往
王杰,始终我是我
王杰,黑色笑话
王杰,阔别
王杰,能否不想你
王杰,某些改变
王杰,张开你雪亮的眼睛
王杰,爱无言
王杰,不孤单
王杰,灵魂有罪
王杰,你们
王杰,旧行李
王杰,真空
王杰,伤心的眼角
王杰,浪子2004
王杰,一封信
王杰,我是真的爱上你
王杰,其实早知道
王杰,Am I Still Your Lover
王杰,寂寞
王杰,几分伤心几分痴
王杰,今生无悔
王杰,心痛
王杰,一无所有
王杰,可能
王杰,为何分离
王杰,谁明浪子心
王杰,封锁我一生
王杰,怒海孤鸿
王杰,冰冷长街
王杰,街灯
王杰,是否我真的一无所有
王杰,忘了所有
王杰,掌握
王杰,活出自己
王杰,Be Cool
王杰,男人心
王杰,封锁我一生
王杰,从未这样爱过
王杰,不要恨我
王杰,天才白痴往日情
王杰,爱得深
王杰,说谎的爱人
王杰,笑我对爱情了解
王杰,你是我最真的故事
王杰,随你远走
王杰,今夜遥远的二人
王杰,爱我爱到够
王杰,她的背影
王杰,是否我真的一无所有
王杰,只有你
王杰,梦与游戏之间
王杰,沉默暴风
王杰,你是你 我是我
王杰,梦醒的我
王杰,等待你的爱
王杰,为何流泪
王杰,永远在我心里
王杰,血战
王杰,亚细亚的孤儿
王杰,万岁
王杰,我唔讲粗口
王杰,不浪漫罪名
王杰,情已经失去了
王杰,一个孤独的理由
王杰,退烧
王杰,还原
王杰,心瘾
王杰,我感到疲倦
王杰,又爱孤独又爱你
王杰,飘流物语
王杰,我会知道几时要退
王杰,今生无悔
王杰,几分伤心几分痴
王杰,可能
王杰,伤心1999
王杰,情却
王杰,今生无悔
王杰,谁明浪子心
王杰,几分伤心几分痴
王杰,酒醉酒醒
王杰,可能
王杰,流浪的心
王杰,温柔的你
王杰,是你是你
王杰,为何分离
王杰,今生无悔II
王杰,BE COOL
王杰,我爱你
王杰,假如能够
王杰,封锁我一生
王杰,怒海孤鸿
王杰,心痛
王杰,今生无悔
王杰,谁明浪子心
王杰,是否我真的一无所有
王杰,忘记你不如忘记自己
王杰,多少次
王杰,忘了你，忘了我
王杰,忘记你不如忘记自己
王杰,惦记这一些
王杰,孤星
王杰,Baby I’m Your Man
王杰,我
王杰,英雄泪
王杰,安妮
王杰,少年的心
王杰,心痛
王杰,那段血、泪、汗的日子
王杰,家太远了
王杰,家太远了
王杰,向太阳怒吼
王杰,不要再说爱我
王杰,给我一个天空
王杰,如何相信这是梦
王杰,不再有我
王杰,别让明天的太阳离开我
王杰,爱让我疲倦
王杰,Wild Flower
王杰,唯一的可爱
王杰,等待黎明
王杰,只要说你爱我
王杰,回首梦已远
王杰,今天我不回家
王杰,没有你我依然可以
王杰,决战
王杰,我只要一个真实的明天
王杰,聚少离别多
王杰,孤独英雄
王杰,沧桑
王杰,SOMETIME WHEN WE TOUCH
王杰,有失有得
王杰,路已走远
王杰,随爱逐流
王杰,重新恋爱的季节
王杰,是你的留给我
王杰,情愿不自由
王杰,迷路
王杰,红太阳
王杰,伤心地
王杰,面对
王杰,醉读女人心
王杰,我爱你
王杰,男与女
王杰,舍不得让你走
王杰,我的唯一
王杰,孤独的飞
王杰,I Don’t Wanna Cry
王杰,爱不起
王杰,忘记背叛
王杰,梦土上
王杰,想雪
王杰,变种情人
王杰,叛侣游戏
王杰,昨日情歌
王杰,我识忍痛
王杰,找一个地方
王杰,我是真的爱上你
王杰,一封信
王杰,男人简单就好
王杰,阿门
王杰,痛爱
王杰,逃避你
王杰,谁来爱我
王杰,这分钟更爱你
王杰,何苦
王杰,Lovin’U
王杰,你是我坚强的唯一理由
王杰,燃亮我
王杰,心瘾
王杰,可能
王杰,谁明浪子心
王杰,还有
王杰,温柔的你
王杰,今生无悔
王杰,几分伤心几分痴
王杰,我会知道几时要退
王杰,情却
王杰,伤心1999
王杰,一场游戏一场梦
王杰,忘了你忘了我
王杰,为了爱梦一生
王杰,安妮
王杰,英雄泪
王杰,故事的角色
王杰,我
王杰,你是我胸口永远的痛
王杰,让我永远爱你
王杰,忘记你不如忘记自己
王杰,红尘有你
王杰,向太阳怒吼
王杰,永远相信爱情
王杰,家太远了
王杰,她的背影
王杰,是否我真的一无所有
王杰,惦记这一些
王杰,只要说你爱我
王杰,孤星
王杰,梦在无梦的夜里
王杰,伤心1999
王杰,从来没爱过
王杰,我想她
王杰,不要再问我
王杰,孤星
王杰,是你是你是你
王杰,点燃你胸中的灯火
王杰,我愿意付出一切所有
王杰,You’re my everything
王杰,我如何知道你爱我
王杰,冷冷的太阳
王杰,谁能了解我的心
王杰,孤星
王杰,从来没爱过
王杰,伤心1999
王杰,情却
王杰,宿命的风
王杰,你还没爱过我
王杰,习惯你
王杰,谁明浪子心
王杰,我想她
王杰,Hello World
王杰,从今开始
王杰,失温
王杰,I Believe
王杰,爱到末路
王杰,永远相信爱情
