art_name,sone_name
谭咏麟,男人悲剧
谭咏麟,你的凝望
谭咏麟,又见面
谭咏麟,想认识你
谭咏麟,冲天飞
谭咏麟,一二三四跑跳蹦
谭咏麟,忘不了你
谭咏麟,爱的眼睛
谭咏麟,喜欢别说不
谭咏麟,无言感激
谭咏麟,还是你懂得爱我
谭咏麟,第一滴泪
谭咏麟,我的生命我的爱
谭咏麟,爱的逃兵
谭咏麟,明天你是否依然爱我
谭咏麟,独醉街头
谭咏麟,今夜情为证
谭咏麟,幸运星
谭咏麟,爱·极爱
谭咏麟,世外桃源
谭咏麟,唱一首好歌
谭咏麟,不见不散
谭咏麟,一首歌一个故事
谭咏麟,永不想您
谭咏麟,帮我欺骗我
谭咏麟,曾经
谭咏麟,80岁后
谭咏麟,酒红色的心
谭咏麟,拥抱
谭咏麟,水中花
谭咏麟,爱在深秋
谭咏麟,BECAUSE I LOVE YOU
谭咏麟,FRIEND OF MINE
谭咏麟,半梦半醒之间
谭咏麟,魔法爱情
谭咏麟,心门
谭咏麟,Love Trap
谭咏麟,梦幻的笑容
谭咏麟,情凭谁来定错对
谭咏麟,美女与野兽
谭咏麟,一段浪漫
谭咏麟,狂小子
谭咏麟,但愿与她相拥
谭咏麟,讲不出再见
谭咏麟,下雨晚上
谭咏麟,一首歌一个故事
谭咏麟,再见亦是泪
谭咏麟,梦幻的笑容
谭咏麟,情深无怨
谭咏麟,都市恋情
谭咏麟,再见亦是泪
谭咏麟,魔与道
谭咏麟,俗世洪流
谭咏麟,拥抱
谭咏麟,酒红色的心
谭咏麟,第一滴泪
谭咏麟,凌晨一吻
谭咏麟,爱你两个人
谭咏麟,一个永远不好的伤口
谭咏麟,望爱
谭咏麟,此刻你在何处
谭咏麟,冷傲的化妆
谭咏麟,香港香港
谭咏麟,知心当玩偶
谭咏麟,爱情陷阱
谭咏麟,成功需苦干
谭咏麟,约翰人生
谭咏麟,几分伤心几分痴
谭咏麟,轻抚你的脸
谭咏麟,最爱是谁
谭咏麟,执迷不悔
谭咏麟,再度孤独
谭咏麟,随想曲
