art_name,sone_name
韩红,葡萄
韩红,我爱祖国的蓝天
韩红,翻身农奴把歌唱
韩红,我和我的祖国
韩红,祖国不会忘记
韩红,珊瑚颂
韩红,多情的土地
韩红,婚誓
韩红,映山红
韩红,故乡的云
韩红,飞的更高
韩红,星梦
韩红,天雪
韩红,钢铁之翼
韩红,灵魂走在大街上
韩红,给我爱的人和爱我的人
韩红,九儿
韩红,谈何容易
韩红,生命不言败
韩红,格桑开花
韩红,来吧
韩红,茶马古道
韩红,感动
韩红,爱的箴言
韩红,浪拉山情
韩红,美丽的神话
韩红,众里寻你
韩红,让爱作主
韩红,天亮了
韩红,那片海
韩红,感动
韩红,故乡
韩红,缘来
韩红,我们
韩红,人间剧场
韩红,我就是那个小孩
韩红,若你是月光
韩红,戏
韩红,我说
韩红,白色裙摆
韩红,Lullaby
韩红,一时间
韩红,只要平凡
韩红,我曾有过我也都懂
韩红,飞行时刻
韩红,变
韩红,一个人
韩红,野草
韩红,远方的孩子
韩红,我爱故我在
韩红,谈何容易
韩红,我不信
韩红,藏爱
韩红,相遇
韩红,美丽心世界
韩红,梨花开
韩红,天之大
韩红,慈愿
韩红,生•活
韩红,那片海
韩红,天亮了
韩红,你不会回来
韩红,蝴蝶飞了
韩红,雪域光芒
韩红,家乡
韩红,风雨中的美丽
韩红,漂
韩红,北京的金山上
韩红,喜玛拉雅
韩红,格桑花开
韩红,相爱
韩红,情人
韩红,原野
韩红,洗衣歌
韩红,天天想你
韩红,情深谊长
韩红,一江水
韩红,思念谁
韩红,空白
韩红,爱的箴言
韩红,凤凰花季
韩红,天亮了
韩红,家乡
韩红,这个冬季
韩红,唱支山歌给党听
韩红,忠于自我
韩红,贪念
韩红,谈何容易
韩红,月光之舞
韩红,灵犀一动
韩红,老韩
韩红,咏生
韩红,九头怪
韩红,寻找线索
韩红,挟持
韩红,提审
韩红,刺杀
韩红,会面
韩红,桃丫头
韩红,花火
韩红,最后一眼
韩红,泪别兄弟
韩红,摇摇晃晃
韩红,女勇士
韩红,健步如飞
韩红,智斗
韩红,辨认
韩红,爱人啊
韩红,一别
韩红,永别
韩红,永失吾爱
韩红,精忠报国
韩红,忆
韩红,飞云之下
韩红,祝福北京
韩红,一个人
韩红,遇见飞天
韩红,浪拉山情
韩红,来吧
韩红,这样的女人
韩红,月亮
韩红,一走了之
韩红,茶马古道
韩红,蓝
韩红,天涯
韩红,在何方
韩红,方向
韩红,方的言
韩红,美丽的神话
韩红,相爱多年
韩红,让爱做主
韩红,我决定爱你
韩红,神话
韩红,天下平安
韩红,山水贵客
韩红,朝圣之心
韩红,来吧
韩红,歌唱2002
韩红,茶马古道
韩红,小屁孩儿
韩红,喜玛拉雅
韩红,听我的声音
韩红,擦肩而过
韩红,文成公主
韩红,一次一次
韩红,那些日子
韩红,海神
韩红,太阳至爱
韩红,归来
韩红,炼爱
韩红,天使
韩红,秋
韩红,青春
韩红,醒了
韩红,那片海
韩红,你不会回来
韩红,天空
韩红,穿行
韩红,那个冬季
韩红,雪
韩红,天亮了
韩红,青藏高原
