art_name,sone_name
卓依婷,接财神
卓依婷,欢喜大团圆
卓依婷,唱出一个好春天
卓依婷,高歌一曲迎新年
卓依婷,大团圆
卓依婷,齐唱新年好
卓依婷,东边敲锣西边响
卓依婷,送你一个大年糕
卓依婷,新年喜洋洋
卓依婷,欢乐年年
卓依婷,新年咿呀嘿
卓依婷,欢乐新春
卓依婷,新年新禧新气象
卓依婷,迎春花开幸福年
卓依婷,流星雨
卓依婷,丽达之歌
卓依婷,常来常往 + 我的祝福记得吗
卓依婷,祝福
卓依婷,真心真意谢谢你
卓依婷,牧羊女之恋 + 欢聚
卓依婷,离家的孩子
卓依婷,背心+东南西北风
卓依婷,爱一个人好难 + 有多少爱可以重来
卓依婷,幸福万年长
卓依婷,记事本
卓依婷,星语心愿 + 不该欺骗我
卓依婷,梦里
卓依婷,家乡美+草原小姐妹
卓依婷,走过咖啡屋
卓依婷,爱拼才会赢
卓依婷,路边摊的心声
卓依婷,款款做一款
卓依婷,有酒矸通卖否
卓依婷,骑白马过南塘
卓依婷,输人不输阵 + 别问阮的名 + 落山风 + 男儿漂泊的心情 + 可爱的马 + 人生 + 心事谁人知 + 浪子的心情 + 妈妈请你也保重 + 风飞沙 + 一支小雨伞 + 流浪的马车 + 孤女的愿望 + 水车姑娘 + 爸爸是行船人 + 快乐的出帆
卓依婷,爱一个人好难
卓依婷,有多少爱可以重来
卓依婷,待嫁女儿心
卓依婷,愿嫁汉家郎
卓依婷,望一望
卓依婷,朱大嫂送鸡蛋 / 括地风
卓依婷,康定情歌 / 情人桥
卓依婷,原乡情浓 / 碧兰村的姑娘
卓依婷,山前山后百花开
卓依婷,珊瑚颂
卓依婷,杜鹃花 / 扬州小调
卓依婷,弥渡山歌 / 上山岗
卓依婷,敖包相会 / 黄昏小唱
卓依婷,卖糖歌
卓依婷,风
卓依婷,流浪儿
卓依婷,勤俭卡有底
卓依婷,浊水溪的恋情
卓依婷,心惊惊
卓依婷,空杯
卓依婷,甭相辞
卓依婷,秋风扫落叶
卓依婷,阿娘的梦
卓依婷,舞伴嘛是有知己
卓依婷,Hello
卓依婷,悄悄话
卓依婷,外貌协会
卓依婷,明月
卓依婷,永远在我心中
卓依婷,舞念
卓依婷,不是你情人
卓依婷,眼泪不听话
卓依婷,谢谢你一直爱着我
卓依婷,小小幸福
卓依婷,梦想在前方
卓依婷,星夜的离别
卓依婷,花开富贵
卓依婷,配成双
卓依婷,新年行大运
卓依婷,情深路迢迢
卓依婷,如梦初醒
卓依婷,花月良宵
卓依婷,串串珠儿
卓依婷,外婆家
卓依婷,良辰美景
卓依婷,莫辜负好时光
卓依婷,人海的沧桑
卓依婷,花儿娇媚蝶儿采
卓依婷,春之晨
卓依婷,人间第一情
卓依婷,过新年最高兴
卓依婷,送情郎
卓依婷,新年好
卓依婷,心相印手牵
卓依婷,等你一万年
卓依婷,恭喜发财
卓依婷,嘻嘻哈哈过新年
卓依婷,新恋情
卓依婷,小拜年
卓依婷,风含情水含笑
卓依婷,拜年
卓依婷,送大哥
卓依婷,桃花岛
卓依婷,追缘
卓依婷,伙伴
卓依婷,女孩的心思男孩你别猜
卓依婷,中国人
卓依婷,依靠
卓依婷,朋友
卓依婷,绝口不提爱你
卓依婷,真实
卓依婷,心情不错
卓依婷,芬芳
卓依婷,用情
卓依婷,情难枕
卓依婷,我还在
卓依婷,初一到十五
卓依婷,守岁
卓依婷,舞狮
卓依婷,欢乐中国年
卓依婷,打锣打鼓
卓依婷,好预兆
卓依婷,一年比一年好
卓依婷,迎星财星福星到
卓依婷,贺年
卓依婷,迎春接福
卓依婷,恭喜发财
卓依婷,大家恭喜
卓依婷,恭喜恭喜
卓依婷,单纯爱
卓依婷,亲爱的你
卓依婷,雨过天晴
卓依婷,再见蓝天
卓依婷,他乡
卓依婷,收起眼泪
卓依婷,单身派对
卓依婷,最美的字句
卓依婷,想你了
卓依婷,圆满
卓依婷,槟榔村之恋
卓依婷,我还是永远爱着你
卓依婷,凉山情歌
卓依婷,乌来追想曲
卓依婷,看不见温柔
卓依婷,欺骗我的心
卓依婷,我有一个秘密
卓依婷,追风的女儿
卓依婷,碧城故事
卓依婷,白云
卓依婷,我在思念你
卓依婷,长兴村之恋
卓依婷,撒情网
卓依婷,可怜的落魄人
卓依婷,孤儿乐园
卓依婷,小城故事
卓依婷,千言万语
卓依婷,读书郎
卓依婷,校园中的喜悦
卓依婷,夏之旅
卓依婷,生日快乐
卓依婷,小草
卓依婷,俏姑娘
卓依婷,明天会更好
卓依婷,辣妹子
卓依婷,问心无愧
卓依婷,一把小雨伞
卓依婷,雪中红
卓依婷,爱情总在幻灭时最美
卓依婷,月亮船
卓依婷,你情我愿
卓依婷,轻轻地告诉你
卓依婷,白沙滩上的脚印
卓依婷,捕风捉影
卓依婷,流浪的心情
卓依婷,芳草无情
卓依婷,小背篓
卓依婷,茶山情歌
卓依婷,情难枕
卓依婷,爱我的人和我爱的人
卓依婷,朋友的心
卓依婷,茶山情歌
卓依婷,难念的经
卓依婷,梦里的依恋
卓依婷,成功靠自己
卓依婷,爱情神话
卓依婷,望月想爱人
卓依婷,回首情难了
卓依婷,放开一点点
卓依婷,好姑娘
卓依婷,爱的路上我和你
卓依婷,声声叹
卓依婷,一对一
卓依婷,配成双
卓依婷,香格里拉
卓依婷,王昭君
卓依婷,伸手等你牵
卓依婷,心锁等你合
卓依婷,无情的班机
卓依婷,相思
卓依婷,永远跟你走
卓依婷,走进新时代
卓依婷,常回家看看
卓依婷,大地飞歌
卓依婷,二泉吟
卓依婷,高天上流云
卓依婷,古丈茶歌
卓依婷,好大一棵树
卓依婷,千古绝唱
卓依婷,山路十八弯
卓依婷,同一首歌
卓依婷,为了谁
卓依婷,爱情一阵风
卓依婷,浪子的心情
卓依婷,爱人跟人走
卓依婷,忍
卓依婷,免失志
卓依婷,男子汉的爱
卓依婷,烧酒话
卓依婷,男性的本领
卓依婷,爱拼才会赢
卓依婷,丰收年
卓依婷,人逢喜事精神爽/添丁又发财
卓依婷,欢乐满天下
卓依婷,金玉满堂
卓依婷,离乡的人儿回家过年
卓依婷,年三十晚合家欢
卓依婷,万事如意
卓依婷,我的财神来了 + 财神到
卓依婷,新年好运乐陶陶
卓依婷,新年来做客
卓依婷,妈妈的年菜
卓依婷,盼着过年好回家
卓依婷,化蝶
卓依婷,月亮船
卓依婷,你情我愿
卓依婷,长相依
卓依婷,桃花岛
卓依婷,追缘
卓依婷,问心无愧
卓依婷,扮皇帝
卓依婷,【黄梅戏】戏凤
卓依婷,【黄梅戏】远山含笑
卓依婷,傻瓜与野丫头
卓依婷,【黄梅戏】杏花溪之恋
卓依婷,【黄梅戏】采红菱
卓依婷,访英台
卓依婷,【黄梅戏】山歌恋
卓依婷,【黄梅戏】月下对口
卓依婷,【黄梅戏】小放牛
卓依婷,山南山北走一回
卓依婷,【黄梅戏】郊道
卓依婷,绣荷包
卓依婷,良辰美景
卓依婷,月下对口
卓依婷,王昭君
卓依婷,待嫁女儿心
卓依婷,配成双
卓依婷,夫妻双双把家还
卓依婷,香格里拉
卓依婷,回娘家
卓依婷,十八相送
卓依婷,满江对唱
卓依婷,人海的沧桑
卓依婷,凤凰于飞
卓依婷,路边的野花不要采
卓依婷,上花轿
卓依婷,祝你平安
卓依婷,真的好想你
卓依婷,蝶儿蝶儿满天飞
卓依婷,红雨
卓依婷,真心真意过一生
卓依婷,你究竟有几个好妹妹
卓依婷,没有情人的情人节
卓依婷,十五的月亮
卓依婷,望星空
卓依婷,金包银
卓依婷,再会啦心爱的无缘的人
卓依婷,在雨中
卓依婷,出水芙蓉
卓依婷,无言的结局
卓依婷,长相依
卓依婷,雾里看花
卓依婷,原来你什么都不要
卓依婷,天使在夜里哭
卓依婷,我不想说
卓依婷,化蝶
卓依婷,你那里下雪了吗
卓依婷,故事里的故事
卓依婷,枕着你的名字入眠
卓依婷,一想到你呀
卓依婷,爱江山更爱美人
卓依婷,又见茉莉花
卓依婷,鸭子
卓依婷,别问我是谁
卓依婷,为你
卓依婷,心太软
卓依婷,破晓
卓依婷,第二道彩虹
卓依婷,天真
卓依婷,浪人的情歌
卓依婷,消息
卓依婷,雪人
卓依婷,眼泪
卓依婷,柳暗花明
卓依婷,为什么春天要迟到
卓依婷,朋友的心
卓依婷,涛声依旧
卓依婷,爱的奉献
卓依婷,妈妈的吻
卓依婷,山不转水转
卓依婷,纸飞机
卓依婷,珠穆朗玛
卓依婷,久别的人
卓依婷,男人这本书
卓依婷,春天的故事
卓依婷,杜十娘
卓依婷,我只在乎你
卓依婷,云河
卓依婷,难忘的初恋情人
卓依婷,爱人
卓依婷,恰似你的温柔
卓依婷,外婆的澎湖湾
卓依婷,农家的小女孩
卓依婷,蜗牛与黄鹂鸟
卓依婷,橄榄树
卓依婷,忆童年
卓依婷,夏之旅
卓依婷,校园中的喜悦
卓依婷,踏浪
卓依婷,雨中即景
卓依婷,抓泥鳅
卓依婷,打鱼的儿郎
卓依婷,免失志
卓依婷,浪子的心情
卓依婷,爱拼才会赢
卓依婷,爱情一阵风
卓依婷,爱人跟人走
卓依婷,忍
卓依婷,男子汉的爱
卓依婷,初恋
卓依婷,有酒矸通卖无
卓依婷,男性的本领
卓依婷,烧酒话
卓依婷,雪中红
卓依婷,歹路不可行
卓依婷,淡水暮色
卓依婷,我是男子汉
卓依婷,往事只能回味
卓依婷,浪迹天涯
卓依婷,夜空
卓依婷,月光小夜曲
卓依婷,春风吻上我的脸
卓依婷,梦醒时分
卓依婷,我有一段情
卓依婷,南屏晚钟
卓依婷,相思河畔
卓依婷,三年
卓依婷,橄榄树
卓依婷,夜来香
卓依婷,夜空
卓依婷,绿岛小夜曲
卓依婷,相思河畔
卓依婷,小城故事
卓依婷,玫瑰玫瑰我爱你
卓依婷,今宵多珍重
卓依婷,凤凰于飞
卓依婷,月下对口
卓依婷,回娘家
卓依婷,路边的野花不要采
卓依婷,待嫁女儿心
卓依婷,香格里拉
卓依婷,十八相送
卓依婷,上花轿
卓依婷,山前山后百花开
卓依婷,敖包相会 / 黄昏小唱
卓依婷,望一望
卓依婷,杜鹃花 / 扬州小调
卓依婷,愿嫁汉家郎
卓依婷,康定情歌 / 情人桥
卓依婷,原乡情歌 / 碧兰村的姑娘
卓依婷,百花齐放
卓依婷,【黄梅戏】谁料皇榜中状元
卓依婷,【黄梅戏】神仙岁月我不爱
卓依婷,【黄梅戏】杉木水桶
卓依婷,【黄梅戏】眉清目秀美容貌
卓依婷,【黄梅戏】菩萨调
卓依婷,【黄梅戏】情深似海
卓依婷,【黄梅戏】对花
卓依婷,【黄梅戏】含悲忍泪往前走
卓依婷,【黄梅戏】一月思念
卓依婷,【黄梅戏】到底人间欢乐多
卓依婷,【黄梅戏】尝花
卓依婷,【黄梅戏】春潮涌
卓依婷,永远是朋友
卓依婷,潮湿的心
卓依婷,潇洒走一回
卓依婷,你看你看月亮的脸
卓依婷,曾经心疼
卓依婷,心雨
卓依婷,风中有朵雨做的云
卓依婷,萍聚
卓依婷,千年等一回
卓依婷,谁的眼泪在飞
卓依婷,无声的雨
卓依婷,迟来的爱
卓依婷,牵手
卓依婷,祈祷
卓依婷,鲁冰花
卓依婷,月亮走我也走
卓依婷,爱上一个不回家的人
卓依婷,一剪梅
卓依婷,梦驼铃
卓依婷,星星知我心
卓依婷,好人一生平安
卓依婷,追梦人
卓依婷,苦乐年华
卓依婷,命运不是辘轳
卓依婷,等你在老地方
卓依婷,月儿弯弯照九州
卓依婷,卖糖歌
卓依婷,杜鹃花+扬州小调
卓依婷,云河
卓依婷,酒矸通卖无
卓依婷,愈想心肝愈不甘
卓依婷,秋风扫落叶
卓依婷,月娘可比阮心肝
卓依婷,浊水溪的恋情
卓依婷,伤心也好
卓依婷,伸手等你牵
卓依婷,心惊惊
卓依婷,心锁等你合
卓依婷,无情的班机
卓依婷,舞伴嘛是有知己
卓依婷,空杯
卓依婷,故事里的事
卓依婷,你那里下雪了吗
卓依婷,枕着你的名字入眠
卓依婷,电话情思
卓依婷,祝你平安
卓依婷,蝶儿蝶儿满天飞
卓依婷,没有情人的情人节
卓依婷,十五的月亮
卓依婷,望星空
卓依婷,祈祷
卓依婷,雨中即景
卓依婷,俏姑娘
卓依婷,乡间的小路
卓依婷,妹妹你真美
卓依婷,小草
卓依婷,橄榄树
卓依婷,童年
卓依婷,生日快乐
卓依婷,读书郎
卓依婷,打渔的儿郎
卓依婷,校园中的喜悦
卓依婷,捉泥鳅
卓依婷,夏之旅
卓依婷,踏浪
卓依婷,蜗牛与黄鹂鸟
卓依婷,外婆的澎湖湾
卓依婷,农家的小女孩
卓依婷,同喜同乐
卓依婷,三百六十五个祝福
卓依婷,迎宾曲
卓依婷,祝你好运
卓依婷,赞酒歌
卓依婷,生日快乐
卓依婷,家和万事兴
卓依婷,好年头好兆头
卓依婷,欢乐中国年
卓依婷,为你祝福
卓依婷,明天会更好
卓依婷,永远的祝福
卓依婷,难忘今宵
卓依婷,万事如意
卓依婷,龙灯舞起来
卓依婷,碧兰村的姑娘
卓依婷,我爱那奴湾
卓依婷,心上人
卓依婷,情深似海
卓依婷,年青人的心声
卓依婷,康定情歌
卓依婷,那奴湾情歌
卓依婷,马兰情歌
卓依婷,站在高岗上
卓依婷,山地情歌
卓依婷,梨山痴情花
卓依婷,一颗情泪
卓依婷,杵歌
卓依婷,阿里山姑娘
卓依婷,年三十晚阖家欢
卓依婷,盼著过年好回家
卓依婷,好春天
卓依婷,祭祖先
卓依婷,大团圆
卓依婷,大地回春满庭芳
卓依婷,喜乐扬起新年到
卓依婷,新年喜洋洋
卓依婷,声声祝福
卓依婷,大拜年、恭喜大家过新年
卓依婷,开心又一年
卓依婷,喜气洋洋
卓依婷,新年快乐
卓依婷,迎春花
卓依婷,美酒加咖啡
卓依婷,多少柔情多少泪
卓依婷,一帘幽梦
卓依婷,恰似你的温柔
卓依婷,只有分离
卓依婷,千言万语
卓依婷,你怎么说
卓依婷,卖汤圆
卓依婷,玫瑰玫瑰我爱你
卓依婷,我只在乎你
卓依婷,心声泪痕
卓依婷,今宵多珍重
卓依婷,欢聚一堂 +欢聚
卓依婷,常来常往
卓依婷,开门红 + 这个日子真好
卓依婷,东边敲锣西边响
卓依婷,同喜同乐
卓依婷,幸福万年长
卓依婷,常回家看看
卓依婷,新年新禧新气象
卓依婷,迎春花开幸福年
卓依婷,八仙齐拜年
卓依婷,万事胜胜意
卓依婷,新年咿呀嘿
卓依婷,大地飞歌
卓依婷,欢乐新春
卓依婷,好日子
卓依婷,新年喜洋洋
卓依婷,算了吧
卓依婷,好人好梦
卓依婷,东南西北风
卓依婷,流星雨
卓依婷,梦里
卓依婷,单身情歌
卓依婷,知心爱人
卓依婷,有多少爱可以重来
卓依婷,星语心愿
卓依婷,窗外
卓依婷,爱一个人好难
卓依婷,到哪里找那么好的人
卓依婷,背心
卓依婷,离家的孩子
卓依婷,我的眼泪不为你说谎
卓依婷,梦蝶
卓依婷,回来我的爱
卓依婷,娃娃
卓依婷,逍遥叹
卓依婷,后来
卓依婷,候鸟
卓依婷,猪之歌
卓依婷,宁夏
卓依婷,老鼠爱大米
卓依婷,丁香花
卓依婷,酸酸甜甜就是我
卓依婷,恭喜发财
卓依婷,九寨沟的春天
卓依婷,事事如愿
卓依婷,情人拜年
卓依婷,八仙齐拜年
卓依婷,挥别旧岁
卓依婷,喜相逢
卓依婷,小小贺年片
卓依婷,新春喜事一桩桩
卓依婷,财神来到我家门
卓依婷,万事胜胜意
卓依婷,鼓声迎来万年红
卓依婷,好事样样来
