art_name,sone_name
周华健,漂洋过海来看你
周华健,活埋
周华健,雁门关相遇
周华健,快乐
周华健,爱冒险
周华健,像我这样的男人
周华健,爱你一眼
周华健,处处爱
周华健,为什么我要走
周华健,你有爱过我吗
周华健,难念的经
周华健,无奈
周华健,曲终人不散
周华健,非常快乐
周华健,Goodbye Girl
周华健,The Way I Feel Tonight
周华健,Kiss You Once
周华健,Drive
周华健,Honesty
周华健,Bluebird
周华健,I’ve Been In Love Before
周华健,I Don’t Like To Sleep Alone
周华健,What Is A Youth
周华健,我愿意去等
周华健,只有只有
周华健,醉
周华健,亲亲我的宝贝
周华健,新温情时代
周华健,摆渡人的歌
周华健,你喜欢的会有几个
周华健,其实我不想放弃
周华健,怕黑
周华健,寡妇村传奇
周华健,璀璨
周华健,不愿一个人
周华健,亲亲我的宝贝
周华健,纯真的心不变
周华健,到海边
周华健,我要把怎样的世界留给你
周华健,你的名字是一首歌
周华健,请听我谈情说爱
周华健,这次我真的做到
周华健,大屿山之恋
周华健,我一直做的很认真
周华健,今天我疯了
周华健,再爱我吧
周华健,最真的梦
周华健,是不是只要有爱
周华健,在我心中
周华健,这城市有爱
周华健,期待另一个夜
周华健,今夜该有的心情
周华健,跑在世界的前面
周华健,不要在梦里想我
周华健,寡妇村传奇
周华健,还要爱你
周华健,朋友
周华健,终于
周华健,Coffee， Tea Or Me 我爱你
周华健,没有你
周华健,何必
周华健,情深为谁
周华健,怕
周华健,泡面的幸福
周华健,世界由你我开始
周华健,昨晚你已嫁给谁
周华健,浓情化不开
周华健,海角天涯
周华健,有过去的人
周华健,为爱情受伤
周华健,新天长地久之男大当恋女大当爱
周华健,谁叫我
周华健,刀剑若梦
周华健,怕黑
周华健,风笑痴
周华健,月满
周华健,像我这样的男人
周华健,曾经沧海也是爱
周华健,有弦相聚
周华健,The Magic Memont
周华健,Yellow Submarine
周华健,流浪的终点
周华健,Leader of The Band
周华健,Songs of Birds
周华健,Call Me
周华健,Sometimes When We Touch
周华健,Make It With You
周华健,Alabama Rain
周华健,Just The Way You Are
周华健,The First Time
周华健,How Deep Is Your Love
周华健,Ocean Deep
周华健,I Remember
周华健,We’re All Alone
周华健,Forever Young
周华健,You Are So Beautiful
周华健,This Magic Moment
周华健,Gift Of Love
周华健,Mandy
周华健,Hey Little Girl
周华健,Eight Days A Week
周华健,Blue Suede Shoes
周华健,最后圆舞曲
周华健,雨中的温馨
周华健,平凡的感觉
周华健,结
周华健,钟声
周华健,蜕
周华健,苹果派的滋味
周华健,Danny’s Song
周华健,Why
周华健,谁曾说过
周华健,愁
周华健,短歌
周华健,夜深人静
周华健,Longer
周华健,Nobody Can Stop Me
周华健,我是真的付出我的爱
周华健,摆渡人的歌
周华健,再爱我吧
周华健,寡妇村传奇
周华健,最真的梦
周华健,亲亲我的宝贝
周华健,让我欢喜让我忧
周华健,怕黑
周华健,你现在还好吗
周华健,我站在全世界的屋顶
周华健,伤心的歌
周华健,花心
周华健,明天我要嫁给你
周华健,孤枕难眠
周华健,风雨无阻
周华健,其实不想走
周华健,刀剑如梦
周华健,你喜欢的会有几个
周华健,爱相随
周华健,求婚
周华健,送你回家
周华健,如果我现在
周华健,痛苦过
周华健,动心
周华健,上上签
周华健,等我一秒钟
周华健,爱无所不能
周华健,Far Far Away
周华健,鬼迷心窍
周华健,下午的一出戏
周华健,Alla Hornpipe of Water Music in D Major， HWV349
周华健,Bach/Air On The G String
周华健,爱情像一只自由的小鸟
周华健,Show Your Smile
周华健,My Oh My
周华健,You Are The Love Of My Life
周华健,Knockin’On Heaven’s Door
周华健,Crying In My Sleep
周华健,Yellow Submarine
周华健,I Wanna Be Your Man
周华健,Enternal Flame
周华健,’99 Sayonara
周华健,苹果派的滋味
周华健,不愿再回首
周华健,平凡的感觉
周华健,在我胸中燃烧
周华健,短歌
周华健,无言的声韵
周华健,谁曾说过
周华健,Danny’s Song
周华健,在梦里
