art_name,sone_name
王力宏,开场Intro
王力宏,放开你的心
王力宏,心中的日月
王力宏,Forever Love
王力宏,一首简单的歌
王力宏,星座
王力宏,过来
王力宏,爱错
王力宏,Follow Me
王力宏,Dragon Dance
王力宏,杜 U ♥ Me
王力宏,十八般武艺
王力宏,你不知道的事
王力宏,伯牙绝弦
王力宏,柴米油盐酱醋茶
王力宏,美
王力宏,需要人陪
王力宏,天涯海角
王力宏,自己人
王力宏,唯一
王力宏,爱的就是你
王力宏,谢绝推销你的爱
王力宏,安全感
王力宏,戒不了你
王力宏,不必问别人
王力宏,白狐狸
王力宏,变坏
王力宏,If You Knew
王力宏,我要
王力宏,公转自转
王力宏,梦想被冷冻
王力宏,爱你等于爱自己
王力宏,One Of These Days
王力宏,我的情歌
王力宏,信任
王力宏,不管怎样
王力宏,2000年
王力宏,你以为我是谁
王力宏,Please Come Back To Me
王力宏,摇滚怎么了！！
王力宏,爱的奇迹
王力宏,两个人不等于我们
王力宏,在梅边
王力宏,花田错
王力宏,盖世英雄
王力宏,Kiss Goodbye
王力宏,完美的互动
王力宏,大城小爱
王力宏,第一个清晨
王力宏,哥儿们
王力宏,让开
王力宏,爱因为在心中
王力宏,让我取暖
王力宏,让我取暖
王力宏,Ya Birthday
王力宏,你不在
王力宏,Love Love Love
王力宏,女朋友
王力宏,此刻，你心里想起谁
王力宏,你和我
王力宏,What Was I Thinking
王力宏,Not Your Average Thug
王力宏,不着地
王力宏,Can You Feel My World
王力宏,我就喜欢
王力宏,爱无所不在
王力宏,亲爱的
王力宏,无声感情
王力宏,四季
王力宏,情敌贝多芬
王力宏,你伤了我的心
王力宏,为我哭一次好不好
王力宏,Love Me Tender
王力宏,听雨
王力宏,乘着爱自由的飞
王力宏,The Water Is Wide
王力宏,别这样我会哭
王力宏,Last Night
王力宏,不愿说再见
王力宏,风中的遗憾
王力宏,远离伤心
王力宏,暴风雨
王力宏,回忆
王力宏,不说后悔
王力宏,预约你的爱
王力宏,眼睛
王力宏,爱依然执着
王力宏,Noah
王力宏,好想你
