art_name,sone_name
王菲,清平调
王菲,百字明
王菲,一人有一个梦想
王菲,般若波罗蜜多心经
王菲,无奈那天
王菲,藉口
王菲,有缘的话
王菲,温柔的手
王菲,尾班车
王菲,仍是旧句子
王菲,中间人
王菲,爱听谎言
王菲,新生
王菲,天空
王菲,棋子
王菲,天使
王菲,影子
王菲,眷恋
王菲,不变
王菲,矜持
王菲,挣脱
王菲,誓言
王菲,暧昧
王菲,爱与痛的边缘
王菲,棋子
王菲,容易受伤的女人
王菲,我愿意
王菲,Di-Dar
王菲,Di-Dar
王菲,天与地
王菲,如风
王菲,流非飞
王菲,初恋的地方
王菲,不再儿嬉
王菲,只因喜欢Faye
王菲,只因喜欢Faye
王菲,Miss You Night & Day
王菲,Miss You Night & Day
王菲,静夜的单簧管
王菲,容易受伤的女人
王菲,执迷不悔
王菲,天与地
王菲,爱与痛的边缘
王菲,游戏的终点
王菲,冷战
王菲,季候风
王菲,暧昧
王菲,蓝色时分
王菲,Summer Of Love
王菲,守时
王菲,彼岸花
王菲,不爱我的我不爱
王菲,再见萤火虫
王菲,萤火虫
王菲,寒武纪
王菲,新房客
王菲,香奈儿
王菲,阿修罗
王菲,如果你是假的
王菲,你喜欢不如我喜欢
王菲,笑忘书
王菲,给自己的情书
王菲,生命之河
王菲,容易受伤的女人
王菲,执迷不悔
王菲,冷战
王菲,棋子
王菲,暧昧
王菲,浮躁
王菲,尾班车
王菲,有缘的话
王菲,可否抱紧我
王菲,浪漫风暴
王菲,执迷不悔
王菲,把锁匙投进信箱
王菲,长大
王菲,棋子
王菲,约定
王菲,冷战
王菲,浮躁
王菲,沉醉
王菲,誓言
王菲,我愿意
王菲,Di-Dar
王菲,不变
王菲,天使
王菲,容易受伤的女人
王菲,你在我心中
王菲,Everything
王菲,无奈那天
王菲,多得他
王菲,可否抱紧我
王菲,有缘的话
王菲,又继续等
王菲,静夜的单簧管
王菲,巴黎塔尖
王菲,借口
王菲,不可多得
王菲,尾班车
王菲,My Loneliness
王菲,闷人咖啡
王菲,无常
王菲,浮躁
王菲,想像
王菲,分裂
王菲,不安
王菲,哪儿
王菲,堕落
王菲,扫兴
王菲,末日
王菲,野三坡
王菲,不得了
王菲,执迷不悔
王菲,执迷不悔
王菲,天空
王菲,天使
王菲,你在我心中
王菲,浮躁
王菲,棋子
王菲,不变
王菲,冷战
王菲,无常
王菲,无常
王菲,容易受伤的女人
王菲,变幻的世界在转
王菲,沉醉
王菲,不变
王菲,只愿为你守着约
王菲,冷战
王菲,软弱
王菲,挣脱
王菲,眷恋
王菲,出路
王菲,动心
王菲,只有我自己
王菲,心太野
王菲,偶遇
王菲,无奈那天
王菲,借口
王菲,有缘的话
王菲,尾班车
王菲,中间人
王菲,巴黎塔尖
王菲,Everything
王菲,可否抱紧我
王菲,又继续等
王菲,闷人咖啡
王菲,多得他
王菲,静夜的单簧管
王菲,容易受伤的女人
王菲,把锁匙投进信箱
王菲,季候风
王菲,从明日开始
王菲,执迷不悔
王菲,如风
王菲,冷战
王菲,怀念
王菲,你快乐所以我快乐
王菲,麻醉
王菲,我也不想这样
王菲,闷
王菲,脸
王菲,开到荼蘼
王菲,只爱陌生人
王菲,当时的月亮
王菲,香奈儿
王菲,阿修罗
王菲,如果你是假的
王菲,你喜欢不如我喜欢
王菲,精彩
王菲,流年
王菲,偿还
王菲,原谅自己
王菲,守望麦田
王菲,萤火虫
王菲,邮差
王菲,女孩
王菲,往事
王菲,潇洒地走
王菲,想让你知道
王菲,月光下的恋情
王菲,心墙
王菲,请你猜一猜
王菲,多梦的童年
王菲,我们俩
王菲,你在我身边
王菲,请你别说
王菲,除了你
王菲,说一句
王菲,最后的告白
王菲,别了，朋友
王菲,尘埃
王菲,梦中人
王菲,背影
王菲,黄昏里
王菲,天与地
王菲,飘
王菲,梦游
王菲,浮躁
王菲,流非飞
王菲,暧昧
王菲,棋子
王菲,容易受伤的女人
王菲,回忆是红色天空
王菲,我愿意
王菲,你在我心中
王菲,君心我心
王菲,初恋的地方
王菲,假如我是真的
王菲,翠湖寒
王菲,黄昏里
王菲,奈何
王菲,一个小心愿
王菲,又见炊烟
王菲,原乡情浓
王菲,不变
王菲,可爱眼睛
王菲,影子
王菲,棋子
王菲,矜持
王菲,不变
王菲,我愿意
王菲,雪中莲
王菲,南海姑娘
王菲,只有我自己
王菲,容易受伤的女人
王菲,誓言
王菲,冷战
王菲,假如我是真的
王菲,但愿人长久
王菲,执迷不悔
王菲,南海姑娘
王菲,棋子
王菲,假如我是真的
王菲,执迷不悔
王菲,巴黎塔尖
王菲,Everything
王菲,游荡
王菲,可否抱紧我
王菲,斗快说笑话
王菲,My Loneliness
王菲,哭墙
王菲,无悔今夜
王菲,一刹那
王菲,激流
王菲,巴黎塔尖
