art_name,sone_name
邓丽君,清平调
邓丽君,苦海女神龙
邓丽君,望春风
邓丽君,祖母的话
邓丽君,愛人叨位去
邓丽君,思想起
邓丽君,缘投囝仔
邓丽君,三声无奈
邓丽君,心酸酸
邓丽君,十一哥
邓丽君,歹歹尪吃袂空
邓丽君,卖肉粽
邓丽君,劝世歌
邓丽君,忘记他
邓丽君,在水一方
邓丽君,你怎么说
邓丽君,小城故事
邓丽君,襟裳岬
邓丽君,一水隔天涯
邓丽君,海韵
邓丽君,小村之恋
邓丽君,空港
邓丽君,我和你
邓丽君,忘记他
邓丽君,水上人
邓丽君,再见!我的爱人
邓丽君,几多愁
邓丽君,原乡人
邓丽君,又见炊烟
邓丽君,泪的小雨
邓丽君,奈何
邓丽君,何日君再来
邓丽君,奈何
邓丽君,海韵
邓丽君,妈妈我是好娃娃
邓丽君,蔷薇姑娘
邓丽君,恋爱有苦也有乐
邓丽君,幸福在这里
邓丽君,望一望
邓丽君,无情荒地有情天
邓丽君,船歌
邓丽君,不管你是谁
邓丽君,祈望
邓丽君,祈望
邓丽君,一个小心愿
邓丽君,一个小心愿
邓丽君,思君
邓丽君,恰似你的温柔
邓丽君,东山飘雨西山晴
邓丽君,四个愿望
邓丽君,留不住你的心
邓丽君,山茶花
邓丽君,难忘初恋情人
邓丽君,彩霞回来吧
邓丽君,一封情书
邓丽君,一封情书
邓丽君,雪化粧
邓丽君,独上西楼
邓丽君,难忘的一天
邓丽君,世界多美丽
邓丽君,说一声再见
邓丽君,我到海边送夕阳
邓丽君,不敢告诉你
邓丽君,梦
邓丽君,三年
邓丽君,三愿
邓丽君,心事
邓丽君,别离
邓丽君,良夜
邓丽君,夜色
邓丽君,夜雾
邓丽君,奈何
邓丽君,思君
邓丽君,是否
邓丽君,珍惜
邓丽君,祈望
邓丽君,秋光
邓丽君,花
邓丽君,カシオペア
邓丽君,賣肉粽
邓丽君,人生一條路
邓丽君,難忘的愛人
邓丽君,心酸孤單女
邓丽君,恋唄綴り
邓丽君,愛は砂のように
邓丽君,夕風
邓丽君,卖馄饨
邓丽君,把爱埋藏在心窝
邓丽君,I Just Called To Say I Love You
邓丽君,The Power Love
邓丽君,人面桃花
邓丽君,你怎么说
邓丽君,碎心恋
邓丽君,莫忘今宵
邓丽君,谁来爱我
邓丽君,酒醉的探戈
邓丽君,风从那里来
邓丽君,老鹰之歌
邓丽君,慈母恩
邓丽君,我没有骗你
邓丽君,冬之恋情
邓丽君,那句诺言
邓丽君,问自己
邓丽君,丝丝小雨
邓丽君,前生有缘
邓丽君,不论今宵或明天
邓丽君,谁来爱我
邓丽君,四个愿望
邓丽君,风中的早晨
邓丽君,微风细雨
邓丽君,惜别
邓丽君,奈何
邓丽君,恰似你的温柔
邓丽君,何日君再来
邓丽君,谁来爱我
邓丽君,襟裳岬
邓丽君,冬之恋情
邓丽君,丝丝小雨
邓丽君,小村之恋
邓丽君,又见炊烟
邓丽君,我和你
邓丽君,难忘的一天
邓丽君,忘记他
邓丽君,几多愁
邓丽君,东山飘雨西山晴
邓丽君,偿还
邓丽君,爱人
邓丽君,每日怀念你
邓丽君,难忘初恋情人
邓丽君,风的传说
邓丽君,他和她
邓丽君,玉兰花开时
邓丽君,想你......
邓丽君,爱在心怀
邓丽君,陪我在今宵
邓丽君,我敬你一杯
邓丽君,爱情123
邓丽君,又甜蜜又美丽
邓丽君,沉醉在羞愧里
邓丽君,恰似你的温柔
邓丽君,小城故事
邓丽君,东山飘雨西山晴
邓丽君,爱像一首歌
邓丽君,再见!我的爱人
邓丽君,初次尝到寂寞
邓丽君,风从那里来
邓丽君,泪的小雨
邓丽君,一个小心愿
邓丽君,假如我是真的
邓丽君,风霜伴我行
邓丽君,忘记他
邓丽君,浪子心声
邓丽君,一水隔天涯
邓丽君,雪中情
邓丽君,遇见旧情人
邓丽君,有谁知我此时情
邓丽君,槟城艳
邓丽君,遇见你
邓丽君,从今日起
邓丽君,小路
邓丽君,我怎能离开你
邓丽君,你爱哪一朵
邓丽君,寻找
邓丽君,希望有一天
邓丽君,把爱埋藏在心窝
邓丽君,是否记得我
邓丽君,有了春天不知道
邓丽君,为什么你会有烦恼
邓丽君,鬼马俏医生
邓丽君,东京夜景
邓丽君,你装做不知道
邓丽君,闭幕
邓丽君,冬日和
邓丽君,手纸
邓丽君,想起你
邓丽君,你在我梦里 
邓丽君,逍遥自在
邓丽君,一片落叶
邓丽君,谁来爱我
邓丽君,Bigin The Beguine
邓丽君,爱的使者
邓丽君,旅人
邓丽君,Good Night Call
邓丽君,往事如昨
邓丽君,爱的箴言
邓丽君,雪地上的回忆
邓丽君,北酒场
邓丽君,月夜诉情
邓丽君,相爱如往昔
邓丽君,我和你
邓丽君,我问我自己
邓丽君,雪地上的回忆
邓丽君,何日君再来
邓丽君,月夜诉情
邓丽君,情人的关怀
邓丽君,爱的箴言
邓丽君,アカシアの梦
邓丽君,ジェルソミーナの歩いた道
邓丽君,逢う時はいつも他人
邓丽君,天涯歌女
邓丽君,你在我心中
邓丽君,冬之恋情
邓丽君,不论今宵或明天
邓丽君,问自己
邓丽君,你装做不知道
邓丽君,祈望
邓丽君,小村之恋
邓丽君,逍遥自在
邓丽君,襟裳岬
邓丽君,我和你
邓丽君,一片落叶
邓丽君,谁来爱我
邓丽君,今晚要的爱
邓丽君,心事知多少
邓丽君,心里多轻松
邓丽君,心路过黄昏
邓丽君,世界多美丽
邓丽君,失去的春天
邓丽君,向自由飞翔
邓丽君,多情的玫瑰
邓丽君,如果没有你
邓丽君,伴你走天涯
邓丽君,你在我心中
邓丽君,不管你是谁
邓丽君,原乡情浓
邓丽君,白沙滩
邓丽君,望一望
