art_name,sone_name
降央卓玛,守望草原
降央卓玛,故乡之上
降央卓玛,向西三千里
降央卓玛,泰山西湖
降央卓玛,渭塘时光
降央卓玛,草原上升起不落的太阳
降央卓玛,走天涯
降央卓玛,美丽的草原我的家
降央卓玛,阿尔斯楞的眼睛
降央卓玛,敖包相会
降央卓玛,姑娘我爱你
降央卓玛,故乡
降央卓玛,泪在投降
降央卓玛,慈祥的母亲
降央卓玛,天堂草原
降央卓玛,一首酒歌
降央卓玛,吉祥印经院
降央卓玛,陪你一起看草原
降央卓玛,草原上升起不落的太阳
降央卓玛,呼伦贝尔大草原
降央卓玛,阿尔斯楞的眼睛
降央卓玛,卓玛
降央卓玛,美丽的草原我的家
降央卓玛,蓝色的蒙古高原
降央卓玛,敖包相会
降央卓玛,草原恋
降央卓玛,牧人
降央卓玛,我和草原有个约定
降央卓玛,布谷鸟和仙鹤
降央卓玛,东女国
降央卓玛,吉祥的酥油灯
降央卓玛,月亮升起来
降央卓玛,美如天仙
降央卓玛,鸿雁
降央卓玛,索呀啦
降央卓玛,雪域名城
降央卓玛,这山这水
降央卓玛,故乡情
降央卓玛,黑帐篷
降央卓玛,武夷来思
降央卓玛,我的母亲
降央卓玛,金瓶似的小山
降央卓玛,请喝一杯下马酒
降央卓玛,爱在天地间
降央卓玛,草原夜色美
降央卓玛,一剪梅
降央卓玛,再唱山歌给党听
降央卓玛,国家
降央卓玛,驼铃
降央卓玛,远飞的大雁
降央卓玛,阿瓦古丽
降央卓玛,边关有我
降央卓玛,父亲
降央卓玛,妈妈
降央卓玛,谁见过梦中的草原梦中的河
降央卓玛,心灵睡过的地方
降央卓玛,草原情
降央卓玛,我爱你塞北的雪
降央卓玛,乌兰巴托之夜
降央卓玛,月光下
降央卓玛,祝酒歌
降央卓玛,哥哥
降央卓玛,天籁之爱
降央卓玛,我和草原有个约定
降央卓玛,蓝色的蒙古高原
降央卓玛,陪你一起看草原
降央卓玛,草原恋
降央卓玛,牧人
降央卓玛,卓玛
降央卓玛,天边
降央卓玛,故乡
降央卓玛,手心里的温柔
降央卓玛,雨中飘荡的回忆
降央卓玛,赞歌
降央卓玛,草原迎宾曲
降央卓玛,雕花的马鞍
降央卓玛,辽阔的草原
降央卓玛,倾国倾城
降央卓玛,穿行
降央卓玛,冈拉梅朵
降央卓玛,吉祥藏历年
降央卓玛,卓玛的歌
降央卓玛,从未走远
降央卓玛,洪泽恋曲
降央卓玛,我以茶之名
降央卓玛,最冷小镇等你来
降央卓玛, 真爱一生 
降央卓玛,思念母亲
降央卓玛,绥山牧歌
降央卓玛,草原母亲河
降央卓玛,那一天
降央卓玛,望草原
降央卓玛,等你回家
降央卓玛,克鲁伦河
降央卓玛,军港之夜
降央卓玛,天堂
降央卓玛,草原无名河
降央卓玛,吉祥永远陪伴你
降央卓玛,风雨情深
降央卓玛,唱支山歌给党听
降央卓玛,慈母颂
降央卓玛,吉祥的酥油灯
降央卓玛,牧人
降央卓玛,美如天仙
降央卓玛,故乡情
降央卓玛,黑帐篷
降央卓玛,月亮升起来
降央卓玛,索呀啦
降央卓玛,雪域名城
降央卓玛,这山这水
降央卓玛,生活
降央卓玛,打布深深
降央卓玛,格桑拉
降央卓玛,阿克祥巴
降央卓玛,花开时节
降央卓玛,卓玛神庙
降央卓玛,心中的雪莲
降央卓玛,美若天仙
降央卓玛,年轻女孩
降央卓玛,慈母颂
降央卓玛,吉祥藏历年
降央卓玛,心中的高原
降央卓玛,卓玛的歌
降央卓玛,苴却砚
降央卓玛,牧人
降央卓玛,吉祥的酥油灯
降央卓玛,黑帐篷
降央卓玛,故乡情
降央卓玛,多彩林西
降央卓玛,老屋
降央卓玛,多情草原
降央卓玛,草原上升起不落的太阳
降央卓玛,走天涯
降央卓玛,姑娘我爱你
降央卓玛,我和草原有个约定
降央卓玛,卓玛
降央卓玛,陪你一起看草原
降央卓玛,天堂的草原
降央卓玛,泪在投降
降央卓玛,草原恋
