art_name,sone_name
高胜美,为什么我的真换来我的痛
高胜美,你的肩是我今生的天
高胜美,何止一句我爱你
高胜美,深怕深情
高胜美,请我喝杯咖啡好吗
高胜美,寂寞的心哀愁的脸
高胜美,玫瑰爱情
高胜美,依赖
高胜美,如果我不是你爱的人
高胜美,爱的太深忘了痛
高胜美,飘
高胜美,何日再吻君
高胜美,爱你爱在心坎里
高胜美,默默祝福你
高胜美,告诉你爱的时候
高胜美,美丽的谎言
高胜美,一封难回的信
高胜美,蒙蒙细雨忆当年
高胜美,庭院深深
高胜美,今夜雨蒙蒙
高胜美,葡萄成熟时
高胜美,再聚首
高胜美,蔷薇处处开
高胜美,何日再吻君
高胜美,补情天
高胜美,不是分离时候
高胜美,我怎么哭了
高胜美,又是细雨
高胜美,午夜香吻
高胜美,几度又几度
高胜美,痴痴的等
高胜美,情人的眼泪
高胜美,寒雨曲
高胜美,蓝与黑
高胜美,总有一天等到你
高胜美,昨夜你对我一笑
高胜美,岷江夜曲
高胜美,遥远寄相思
高胜美,梦里相思
高胜美,蓝色的梦
高胜美,回想曲
高胜美,委屈为了你
高胜美,往事不堪回首
高胜美,声声慢
高胜美,咏叹词
高胜美,当掌声过后
高胜美,该走的时候
高胜美,如果你也曾哭过
高胜美,不想再见你
高胜美,记忆都是你
高胜美,因我相信
高胜美,红粉雨
高胜美,那些带不走
高胜美,忘情
高胜美,错看了你
高胜美,盼你早回头
高胜美,雨夜情
高胜美,诉衷情
高胜美,为什么喜欢你
高胜美,真心
高胜美,真爱
高胜美,棋子
高胜美,唇印
高胜美,找一个字代替
高胜美,为情所困
高胜美,用心良苦
高胜美,老情歌
高胜美,多爱你一天
高胜美,忘情水
高胜美,我需要安慰
高胜美,蔷薇处处开
高胜美,不能忘记你
高胜美,风从那里来
高胜美,冬恋
高胜美,榕树下
高胜美,小村之恋
高胜美,呼唤
高胜美,牵引
高胜美,我心甜蜜蜜
高胜美,潇洒的走
高胜美,只要你记得
高胜美,一翦梅
高胜美,梦驼铃
高胜美,情人山
高胜美,一去不回头
高胜美,江水悠悠泪长流
高胜美,对你怀念特别多
高胜美,当做没有爱过我
高胜美,不如归去
高胜美,风凄凄意绵绵
高胜美,往事只能回味
高胜美,恨你不回头
高胜美,喝彩
高胜美,负心的人
高胜美,蝶儿蝶儿满天飞
高胜美,早秋
高胜美,你把心上了锁
高胜美,永远孤单的两个人
高胜美,让错误继续
高胜美,你从来不懂
高胜美,一生一世一年一月一夜一些
高胜美,问候
高胜美,昨日重现
高胜美,我想对你对我好
高胜美,长发不剪
高胜美,贺年 好春宵 恭喜恭喜 嘻嘻哈哈过新年
高胜美,向歌友拜年 小拜年 财神到 福星高照
高胜美,贺新年 万年红 合家欢 春之晨
高胜美,新年喜洋洋 恭喜发财 新年好 迎春花
高胜美,无情世界多情人
高胜美,艺界人生
高胜美,春天哪会这呢寒
高胜美,伤心酒店
高胜美,返来阮身边
高胜美,牵阮的手
高胜美,茫茫到深更
高胜美,旧情也绵绵
高胜美,心情
高胜美,纯情青春梦
高胜美,雪中红
高胜美,车站
高胜美,如果你是我的传说
高胜美,何苦
